Study#,SL,Title,Year,Limitations & Future Works
S41,41,Discerning the Quality of Questions in Educational Q&A using Textual Features,2017,"Limitations [The authors explicitly state that “our sample is much smaller compared to the data sets used in other studies, which is a major limitation of this work,” acknowledging that the limited dataset size restricts robustness and comparative strength of the results (Section 5 Discussion, p. 331); They further note that the model “fails to classify the questions based on poor syntax and inconsistency,” as reflected by low ROC values, indicating limitations of the current textual feature set in handling grammatical errors, informal language, and special characters (Section 5 Discussion, pp. 331–332); The authors also acknowledge that the studied classes are “highly imbalanced,” which biases the classifier toward majority classes and leads to poor performance for minority categories such as “poor syntax” and “inconsistent” (Section 4 Findings, p. 331)];

Future Work [The authors explicitly state that they “would like to attempt to further experiment and obtain better results for the ROC curve in future research,” particularly for poorly performing classes (Section 5 Discussion, p. 331); They propose developing “better techniques for parsing the misspellings and grammatical errors present in the questions” to improve classification accuracy (Section 5 Discussion, p. 331); They state that “future studies could divide the questions into categories – such as fact-based, opinion-based, and advisory,” to build more specialized classification models (Section 5 Discussion, p. 332); They suggest that “future work may also include decision trees to individually detect the issues present in a particular class-label” and the use of SMOTEBoost/Adaboost to address class imbalance (Section 5 Discussion, p. 332); They further note that it would be “interesting to see in future research how well the classifier performs in other items for unanswered questions,” and whether improving question quality also improves answer quality (Section 5 Discussion, p. 332); In the conclusion, they emphasize future research toward “wider question reformulation and revision,” including frameworks that help users reformulate poor questions to receive better answers (Section 6 Conclusion, p. 332)];"
S42,42,TAGme: A Topical Folksonomy Based Collaborative Filtering for Tag Recommendation in Community Sites,2017,"Limitations [N/A];
Future Work [“As future work, we will perform experiments and expand TAGme algorithm on different areas and datasets,” indicating extension beyond the current Stack Overflow and StackExchange datasets (Section 7 Conclusion, p. 5); “Furthermore, for reducing the time of collaborative filtering of TAGme model, parallel computing frameworks will be implemented such as MapReduce for the faster tag recommendation process,” explicitly proposing scalability and performance improvements via parallelization (Section 7 Conclusion, p. 5)];"
S43,43,Identifying Textual Features of High-Quality Questions: An Empirical Study on Stack Overflow,2017,"Limitations [The authors explicitly state that “we only consider the dataset from Stack Overflow,” and note that “it is unclear whether the same findings suitable for all Q&A websites,” indicating limited generalizability beyond Stack Overflow (Section IV Threats to Validity, p. 640); They acknowledge that using voting score as the indicator of question quality has limitations, since “some questions attract high scores simply because their topics are interesting,” and that voting score “may not be able to represent exact quality” (Section IV Threats to Validity, p. 640); They explicitly note that they may have overlooked some representative factors, as textual features were selected based on intuition, which could limit completeness of the analysis (Section IV Threats to Validity, p. 640); They also state a limitation in the use of SentiStrength for sentiment analysis, noting that it was designed for short informal social text and “might not be applicable for domains like software engineering” (Section IV Threats to Validity, p. 640)];

Future Work [The authors state that “further research is necessary to verify the generalization of our conclusions on other communities (e.g., Yahoo! Answers)” (Section IV Threats to Validity, p. 640); They state that they “intend to incorporate controls of these influential factors (e.g., topic and user popularity) in our future work,” to mitigate limitations of voting score as a quality proxy (Section IV Threats to Validity, p. 640); They note that “further study is required to explore other metrics such as question utility” beyond voting score (Section IV Threats to Validity, p. 640); In the conclusion, they explicitly state that their work “is continuing to investigate additional features that can potentially affect the question quality,” and that they plan “the development of a prototype tool … for quantitatively assessing the quality of a certain question and providing targeted suggestions on what should be done to make the question better” (Section VI Conclusions and Future Work, p. 641)];"
S44,44,Scalable tag recommendation for software information sites,2017,"Limitations [The authors explicitly discuss limitations under Section VI: Threats to Validity. They note that the approach assumes existing tags in software information sites are correct, but “human errors are inevitable,” and issues such as a large number of synonymous tags “cannot be completely solved” (Section VI.1 Potentially Biased Results, p. 280); They acknowledge generalizability limitations, stating that although TagMulRec is evaluated on five software information sites, “more case studies are needed to generalize our findings” (Section VI.2 Generalizability of Algorithms, p. 280); They also mention limitations of evaluation metrics, noting that Recall@k, Precision@k, F1-score@k, and time usage may not be fully suitable due to differences in environments, and that better metrics might exist (Section VI.3 Suitability of Evaluation Metrics, p. 280)];

Future Work [The authors explicitly state that “our current work is based on text only,” and that in the future, we plan to consider code snippets to make our tag recommendation more accurate (Section VII Conclusion and Future Work, p. 281); They also state that they “will also conduct experiments on more software information sites with more evaluation metrics,” indicating plans for broader empirical validation and richer evaluation (Section VII Conclusion and Future Work, p. 281); Additionally, they note that multi-label classification evaluation metrics will be explored in future work to better suit the tag recommendation task (Section VI.3 Suitability of Evaluation Metrics, p. 280)];"
S45,45,Towards Question Improvement on Knowledge Sharing Platforms: A Stack Overflow Case Study,2017,"Limitations [N/A];
Future Work [N/A];"
S46,46,"Question's advisor a wizard interface to teach novice programmers how to post ""better"" questions in stack overflow",2017,"Limitations [N/A];
Future Work [“For future work, we aim to test our solution locally, collecting feedback, and reporting what happened” (Section 6 Conclusions and Future Work, p. 478); “In addition, we need to do a further investigation on how the presence of these features relates to question’s performance” (Section 6 Conclusions and Future Work, p. 478); “This research would also have the goal of finding new relevant characteristics that were not suggested through the questionnaire” (Section 6 Conclusions and Future Work, p. 478); “Last, we want to design a plugin that allows people to add our suggestion engine in any text area component,” enabling integration into platforms such as Moodle or Facebook (Section 6 Conclusions and Future Work, p. 478)];"
S47,47,On early detection of high voted Q&A on Stack Overflow,2017,"Limitations [N/A];
Future Work [“In our next steps, we tend to extend our model to take into consideration the users behavior in high-quality content detection problem,” indicating incorporation of user-related features beyond question–answer interactions (Section 6 Conclusion, p. 797); “In addition, we are planning to investigate the effect of high-quality content prediction on the performance of expert finding and expert profiling tasks on Stack Overflow,” suggesting downstream applications of the proposed model (Section 6 Conclusion, p. 797)];"
S48,48,The best answer prediction by exploiting heterogeneous data on software development Q&A forum,2017,"Limitations [The authors explicitly note that “Stack Overflow is just one of many Q&A websites,” and that “the pattern we find out in Stack Overflow might be migrated to the other websites,” implicitly acknowledging limited generalizability, as the empirical study is conducted only on Stack Overflow data (Section 5 Conclusion, p. 218–219)];

Future Work [The authors explicitly state that “if there exists some interesting patterns in other websites, we want to leverage them, which can be deferred to the future work,” indicating plans to extend and validate the proposed BoostStack framework on other Q&A websites beyond Stack Overflow (Section 5 Conclusion, p. 219)];"
S49,49,Language Use Matters: Analysis of the Linguistic Structure of Question Texts Can Characterize Answerability in Quora,2017,"Limitations [N/A];
Future Work [N/A];"
S50,50,Understanding Stack Overflow Code Fragments,2017,"Limitations [N/A];
Future Work [“As next steps in this research project, we plan to investigate which of the identified code fragment issues have the most impact on how self-explanatory a code fragment is,” and to study “to what extent the identified issues are resolved by the original text that accompanies each code fragment,” as well as “how to identify the most useful explanation in the text” (Section VI Future Work, p. 5); “Another promising avenue for future work is the automated classification of code fragments based on how self-explanatory they are” (Section VI Future Work, p. 5); The authors further state that “the ultimate goal of this work is understanding developers’ information needs related to code fragments and how these needs can be addressed by documentation guidelines or on-demand developer documentation” (Section VI Future Work, p. 5)];"
S51,51,Are Code Examples on an Online Q&A Forum Reliable? A Study of API Misuse on Stack Overflow,2018,"Limitations [The authors explicitly state that “our study is limited to 100 Java APIs that frequently appear in Stack Overflow and thus may not generalize to other Java APIs or different languages,” acknowledging limited API and language coverage (Section Threats to Validity, p. 10); They note that the scope is limited to code snippets found on Stack Overflow, and that “other types of online resources such as programming blogs and other Q&A forums may have better curated examples,” limiting external validity (Section Threats to Validity, p. 10); They explicitly acknowledge that ExampleCheck detects API misuse with 72% precision, and that false positives exist because the approach relies on sequence comparison “without deep knowledge of its specification,” indicating methodological limitations and imperfect precision (Sections 4.2 and Threats to Validity, pp. 6, 10); They also note that infrequent but correct alternative API usage patterns may not be learned from GitHub due to low support, leading to false positives (Section 4.2, p. 7)];
Future Work [The authors explicitly state: “As a future work, we plan to validate ExampleCheck with developers and solicit their feedback on its Chrome extension,” indicating plans for user studies and empirical validation of the tool in practice (Section 7 Conclusion, p. 10)];"
S52,52,Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites,2018,"Limitations [The authors explicitly state that their approach focuses only on four types of medium-level post edits (code formatting, text formatting, hyperlink modification, and image revision), and that major text or code changes are much more complicated and require deeper understanding, which is beyond the scope of the current work (Section 3.3 What is the scale of changes that post edits involve?, p. 8); They also explicitly note that their CNN-based approach cannot perfectly model non-obvious or conflicting editing patterns, such as revert-back edits caused by differing user opinions, and that machine-learning-based recommendations are not perfect and may produce erroneous or missed recommendations (Section 6.1 The Impact on Collaborative Editing, pp. 18–19); Additionally, they acknowledge that the effectiveness of the approach depends on the availability of sufficient historical collaborative editing data, which may limit applicability to communities with sparse edit histories (Section 6.2 The Generalization of Our Approach and Findings, pp. 19–20)];

Future Work [The authors explicitly state that major post changes (e.g., adding new code examples or substantial content revisions) are left as future work, as they require deeper semantic understanding of post content and discussion context (Section 3.3, p. 8); They note that updating the model to learn newly emerging editing patterns over time is a future challenge as community norms evolve (Section 6.1, p. 18); They explicitly state that evaluating the approach in large-scale, live deployment on Stack Overflow remains an open question and requires further investigation (Section 6.2.2 The Generalization to Other Sites, p. 20); Finally, they suggest that exploring effective mechanisms to blend machine-learning-based post-edit recommendations with human collaborative editing is an important and interesting future research direction (Section 6.1, p. 19)];"
S53,53,Duplicate Detection in Programming Question Answering Communities,2018,"Limitations [N/A];
Future Work [N/A];"
S54,54,Two Perspectives on Software Documentation Quality in Stack Overflow,2018,"Limitations [N/A];
Future Work [The authors explicitly state that the acceptance of an answer “might also depend on the context and current activity of the developer who asks a question (e.g., using an IDE and developing for Python or learning about a software product), which needs further investigation,” indicating future work on studying developer context and activity when assessing documentation quality and answer acceptance (Section 5 Conclusion, p. 9)];"
S55,55,"Determinants of quality, latency, and amount of Stack Overflow answers about recent Android APIs",2018,"Limitations [The authors explicitly acknowledge that the study focuses only on the Android ecosystem and Stack Overflow, noting that “our focus on Android alone may affect generalizability to other domains,” which limits the external validity of the findings beyond Android APIs and Stack Overflow–based Q&A communities (Related Work – Stack Overflow Q&A quality and latency, p. 5); they explicitly note that their API-linking strategy was intentionally designed to favor precision over recall, achieving high precision (96%) but relatively low recall (60%), which may cause some relevant API-related questions to be missed (Stack Overflow question API links, p. 8–9); the authors also acknowledge that their assumption underlying the answer-quality metric—that users are equally likely to up-vote answers over time—“may not be true,” posing a threat to construct validity (Question and answer quality, p. 12); additionally, they note that their operationalization of documentation need based on model residuals is “one possible explanation of many,” acknowledging potential construct validity limitations (Residual question need for documentation, p. 12–13); finally, they acknowledge that the relatively low R² values in the time-to-answer models increase uncertainty in estimates, even though the models remain suitable for inference (Interpreting regression results, p. 15–16)];

Future Work [The authors explicitly state that “there is no comprehensive (e.g., qualitative) work on the social reasoning behind high Stack Overflow question scores,” and that understanding the underlying social mechanisms driving why high-quality questions often take longer to receive answers “could be the subject of future work,” indicating future research on qualitative and sociotechnical explanations of voting and answering behavior on Stack Overflow (Latency of answers to new API questions, Discussion, p. 21)];"
S56,56,ICSD: An Automatic System for Insecure Code Snippet Detection in Stack Overflow over Heterogeneous Information Network,2018,"Limitations [The authors explicitly state that their empirical evaluation focuses on Java code snippets for Android application development as a “case study,” noting that Java and Android are selected due to their popularity and security relevance, which implicitly limits the generalizability of the results to other programming languages and platforms (Section 3.1 Feature Extraction, p. 3–4); they also rely on manually labeled ground truth for a subset of code snippets based on domain expertise and predefined vulnerability categories, which may introduce subjectivity and limit scalability to other security taxonomies (Section 4.1 Experimental Setup, p. 7); additionally, the study is conducted exclusively on Stack Overflow data, implicitly limiting external validity to other social coding platforms (Sections 4–6)]; 

Future Work [The authors explicitly state that “the proposed method and developed system can also be easily expanded to code security analysis in other social coding platforms, such as GitHub and Stack Exchange,” indicating future work on extending ICSD beyond Stack Overflow to other platforms and ecosystems (Section 6 Conclusion, p. 10)]; "
S57,57,"EnTagRec ++: An enhanced tag recommendation system for software information sites
",2018,"Limitations [The authors explicitly acknowledge that ENTAGREC++ performs less effectively on FREECODE compared to Stack Exchange sites, noting that “objects in FREECODE are much shorter,” and that the Bayesian inference component based on L-LDA “usually requires training documents to be relatively long in order to achieve good results,” which limits effectiveness for short-text software objects and poses a construct validity limitation (Section 9.3 Discussion, pp. 23–24); they also explicitly note that tags associated with fewer than 50 objects are filtered out to reduce noise, which may exclude rare or emerging tags and limit coverage of long-tail tagging scenarios (Section 9.1 Experimental Setting, p. 18)] ;

Future Work [The authors explicitly state that their approach can be further enhanced by better handling short software objects, as the discussion highlights the need for techniques beyond LDA to improve tag recommendation for short texts such as FREECODE project descriptions, indicating future work on adapting or replacing topic models for short-content scenarios (Section 9.3 Discussion, pp. 23–24)] ;"
S58,58,Exploiting User Activities for Answer Ranking in Q&A Forums,2018,"Limitations [N/A];
Future Work [N/A]; "
S59,59,Guiding supervised topic modeling for content based tag recommendation,2018,"Limitations [The authors explicitly note that, in their experimental setting, “we remove some low frequency tags,” acknowledging that this preprocessing choice may limit the evaluation and effectiveness of the proposed approach for rare or infrequently used tags, and thus constrains the coverage of the tag recommendation task (Section 5.1 Experimental setup, p. 486); additionally, the study focuses on content-based tag recommendation using textual content only, implicitly limiting applicability to scenarios where rich textual information is available and not addressing multimedia or non-textual content (Sections 1 Introduction and 5 Experimental evaluations, pp. 479–487)] ;

Future Work [The authors explicitly state several future research directions: (1) “in the future, we consider to apply deep learning models such as convolutional neural networks and recurrent neural networks to see their effectiveness,” indicating plans to replace or augment topic modeling with deep learning approaches; (2) they state that they are “interested in checking the effectiveness of the existing methods for recommending these low frequency tags,” highlighting future work on handling rare tags that were excluded in the current study; and (3) they note that “the tags for the same piece of content may be correlated with each other” and that they “plan to incorporate this phenomenon in the future work,” indicating future extensions to model tag–tag correlations (Section 7 Conclusions, p. 488)] ;"
S60,60,How to ask for technical help? Evidence-based guidelines for writing questions on Stack Overflow,2018,"Limitations [The authors explicitly acknowledge several limitations of their study: (i) they note that the analysis relies on sentiment analysis using a general-purpose tool (SentiStrength), which “is not trained specifically for the software engineering domain,” leading to misclassifications, especially for questions written by expert users rich in technical jargon (Section 4.2 Qualitative analysis of emotions, p. 194–195); (ii) they acknowledge a limitation of the Stack Overflow data dump, namely that reputation scores are snapshots taken at dump time, forcing them to approximate user reputation at posting time by restricting the dataset to the last month of the dump, which may still introduce inaccuracies (Section 3 Dataset, p. 189–190); (iii) they explicitly note that edited questions had to be removed because “we cannot know how a question edited afterward looked like when the accepted answer was provided,” which may limit the representativeness of the dataset (Section 3 Dataset, p. 189); and (iv) they acknowledge that their logistic regression model achieves only moderate explanatory power (AUC = 0.65), suggesting that other non-actionable factors—such as topic popularity, technology maturity, or expert availability—may not be captured by their framework (Section 5.2 Theoretical implications, p. 198)] ;

Future Work [The authors explicitly propose multiple directions for future work: (i) they state that future research should investigate additional non-actionable success factors, such as “availability of experts,” “topic popularity,” and “degree of maturity of a technology,” which may further explain question success beyond the current framework (Section 5.2 Theoretical implications, p. 198); (ii) they explicitly suggest improving affect analysis by adopting sentiment and emotion models better tailored to software engineering text, to reduce misclassification of technical jargon and sarcasm (Section 4.2 Qualitative analysis of emotions, p. 194–195); and (iii) they explicitly discuss the need for future research and tooling around comment moderation, noting that rudeness and toxicity often appear in comments rather than questions, and suggesting that “Stack Overflow should implement comment moderation sooner rather than later,” which opens avenues for studying moderation mechanisms and their impact on community health (Section 5.1 Discussion – Affect, p. 198)] "
S61,61,Finding and Ranking High-Quality Answers in Community Question Answering Sites,2018,"Limitations [The authors explicitly acknowledge that “the proposed system is implemented with only one CQA site dataset,” namely Stack Exchange, which limits the generalizability of the findings to other community question answering platforms (Section 8 Conclusion, p. 65); they further state that they “used only content-based feature to predict the votes of an answer,” indicating a methodological limitation due to the exclusion of other potentially influential signals such as user interactions and comments (Section 8 Conclusion, p. 65); additionally, they note an inherent limitation of machine learning approaches in that they “work with the features that are provided by the users,” which constrains performance to manually engineered features and may miss latent patterns (Section 8 Conclusion, p. 65)] ;

Future Work [The authors explicitly propose several directions for future research: they state that “future work should include the implementation of same methodology with full systems of Stack Exchange (150 topics),” indicating plans to scale the approach across all Stack Exchange sites (Section 8 Conclusion, p. 65); they also state that “we can also consider the users’ comments to predict the quality of an answer,” suggesting future integration of comment-based features (Section 8 Conclusion, p. 65); they further note that “future research might yield better output with automated feature learning system, deep learning, etc.,” indicating plans to move beyond manual feature engineering (Section 8 Conclusion, p. 65); additionally, they state that the model should be tested on other CQA platforms such as “Yahoo! Answers, Quora,” to assess cross-platform applicability (Section 8 Conclusion, p. 65); finally, they explicitly suggest that future studies should focus on “behavioural aspects related to adoption and use of such technologies,” recommending the use of technology adoption theories to understand user acceptance of the proposed system (Section 8 Conclusion, p. 65)] ;"
S62,62,FastTagRec: fast tag recommendation for software information sites,2018,"Limitations [The authors explicitly acknowledge that the approach assumes existing tags in software information sites are correct, while in reality “human errors are inevitable,” and issues such as synonymous or inappropriate tags cannot be completely resolved despite filtering rules, which may bias the training data (Section 5.2 Threats to validity, p. 696); they also explicitly note that the model only utilizes textual descriptions of software objects, as all code snippets and screenshots were removed, limiting the ability of FastTagRec to exploit richer information sources (Section 5.2 Threats to validity, p. 696); additionally, they acknowledge limitations in generalizability, stating that although FastTagRec is evaluated on one large-scale, three medium-scale, and six small-scale software information sites, more case studies are required to generalize the findings to other sites and kinds of software objects (Section 5.2 Threats to validity, p. 696)];

Future Work [The authors explicitly state that future work will focus on incorporating code snippets and extracted information from screenshots into the model to extend FastTagRec beyond purely textual content (Section 5.2 Threats to validity, p. 696); they also explicitly state that more software information sites will be used in future evaluations to further validate and generalize the approach (Section 5.2 Threats to validity, p. 696)];"
S63,63,AnswerBot: An Answer Summary Generation Tool Based on Stack Overflow,2019,"Limitations [The authors explicitly acknowledge that AnswerBot is evaluated only on Java-related questions from Stack Overflow, which limits the generalizability of the results to other programming languages and technical domains (Section 3.1 Data Collection, p. 1135); they also rely on a relatively small user study involving 8 participants and 100 queries, which may limit the strength and representativeness of the empirical evaluation (Section 4.1 User Study, p. 1136); additionally, the approach depends on heuristic-based feature design (e.g., semantic patterns, paragraph position, voting signals), which may not capture all aspects of answer quality and diversity across different contexts (Sections 2.2–2.3, pp. 1134–1135)];

Future Work [The authors explicitly state that future work will enhance AnswerBot to support more programming languages such as C/C++ and Python, extending beyond the current Java-only setting (Section 5 Conclusion, p. 1137); they also state that they plan to provide more customized search options for users, indicating future work on personalization and configurability of the tool (Section 5 Conclusion, p. 1137); additionally, they explicitly mention interest in integrating AnswerBot into a broader intelligent Q&A system to further support developers’ problem-solving workflows (Section 5 Conclusion, p. 1137)];"
S64,64,Features That Predict the Acceptability of Java and JavaScript Answers on Stack Overflow,2019,"Limitations [The authors explicitly acknowledge that the dataset includes only questions and answers tagged with Java and JavaScript from Stack Overflow between 2014–2016, which “may not represent all the types of questions asked and answers provided” and limits generalizability to other languages, tags, and time periods (Section 7 Threats to Validity, p. 9); they also explicitly note that Stack Overflow “is not representative of all Q&A portals,” so the identified features may not fully transfer to other platforms, even though similar trends are expected in technology-focused forums (Section 7 Threats to Validity, p. 9); additionally, they acknowledge that accepted answers are treated as ground truth for answer quality, but “this may not necessarily be the best answer in all cases,” since question askers may lack sufficient expertise, introducing construct validity concerns (Section 7 Threats to Validity, p. 9); they further note that only two modeling techniques (random forest and neural network) are used, so results may not hold for other models such as SVMs or Bayesian approaches (Section 7 Threats to Validity, p. 9); finally, they acknowledge that some potentially relevant features (e.g., badges and post history) were excluded based on assumptions, which may affect the completeness of the analysis (Section 7 Threats to Validity, p. 9)];

Future Work [The authors explicitly state that “a plausible next step for future work is to replicate this study for similar Q&A forums,” indicating plans to extend the analysis beyond Stack Overflow to other community question-answering platforms (Section 8 Conclusion and Future Work, p. 9); they also explicitly state that they “plan to evaluate other feature selection algorithms,” suggesting future work on alternative feature engineering and selection techniques (Section 8 Conclusion and Future Work, p. 9); additionally, they note the intention to “perform inductive analysis to validate our outcomes,” indicating future work aimed at deeper qualitative or theory-driven validation of the identified predictive features (Section 8 Conclusion and Future Work, p. 9)];"
S65,65,How Reliable is the Crowdsourced Knowledge of Security Implementation?,2019,"Limitations [The authors explicitly acknowledge that the study focuses on Java security-related code snippets from Stack Overflow and relies on a predefined set of insecurity rules, which may limit the generalizability of the findings to other programming languages, security domains, and platforms (Section VII Threats to Validity – External Validity, p. 544); they also explicitly note that manual labeling of code snippets may introduce subjectivity and bias, and that the applied rules may not capture all existing or emerging security vulnerabilities, posing a construct validity limitation (Section VII Threats to Validity – Construct Validity, p. 544); additionally, they acknowledge that sampling based on clone detection may affect internal validity, as results obtained from sampled snippets may differ from those derived from the full dataset (Section VII Threats to Validity – Internal Validity, p. 544)];

Future Work [The authors explicitly state that future work will aim to identify more kinds of insecure code by considering additional programming languages and leveraging multiple vulnerability detection tools, as well as developing more automated analysis techniques to reduce reliance on manual inspection and improve detection accuracy (Section VIII Conclusion, p. 545)];"
S66,66,Integrating Multi-Level Tag Recommendation with External Knowledge Bases for Automatic Question Answering,2019,"Limitations [The authors explicitly acknowledge that the proposed framework is primarily evaluated on software development–related Q&A sites, particularly Stack Overflow, which limits the generalizability of the findings to other domains; they also note challenges related to identifying appropriate external knowledge bases and scalability when dealing with a much larger number of KBs, implicitly indicating constraints in applying the approach beyond the studied setting (Section 6 Conclusions and Future Work, pp. 20–21)];

Future Work [The authors explicitly state that “an interesting future direction is to apply the proposed framework to other important domains, such as health related ones, or even the ones with open domains,” and further highlight the need to address “the identification of potential KBs and how to better scale the system when a much larger number of KBs are involved,” indicating plans to extend the framework across domains and improve scalability (Section 6 Conclusions and Future Work, pp. 20–21)];"
S67,67,SOTagRec: A Combined Tag Recommendation Approach for Stack Overflow,2019,"Limitations [The authors explicitly acknowledge that the proposed SOTagRec approach only uses the textual content of questions and does not consider correlations between tags, which may limit recommendation accuracy (Section 5 Conclusion and Future Work, p. 151); they also implicitly limit generalizability by evaluating the approach solely on Stack Overflow data with rare tags (appearing fewer than 50 times) filtered out, which may exclude long-tail or emerging tags (Section 4.1 Dataset, p. 148)];

Future Work [The authors explicitly state that “in the future, we plan to utilize the relationship between tags, code snippets and user information to make our tag recommendation more accurate,” indicating plans to incorporate tag correlations, code information, and user-related features to extend and improve SOTagRec (Section 5 Conclusion and Future Work, p. 151)]; "
S68,68,Towards an Accurate Prediction of the Question Quality on Stack Overflow using a Deep-Learning-Based NLP Approach,2019,"Limitations [The authors explicitly acknowledge that the proposed approach relies solely on linguistic and semantic features extracted from question text (title, body, and tags), and does not incorporate popularity-based or user-related features, which prior work shows can outperform text-only models in predicting question quality (Section 4 Results and Discussion, pp. 636–637); they also explicitly note limitations of quality labels based on accepted answers and scores, stating that “scores do not always reflect the real quality” and that answer acceptance depends on the question asker, which may introduce noise and construct validity issues (Section 4 Results and Discussion, p. 637); additionally, the study is conducted only on Stack Overflow data from a specific time period, which may limit generalizability to other platforms or evolving community practices (Section 3 Process Description, pp. 634–635)] ;

Future Work [The authors explicitly state that future work will explore improving the Doc2Vec representation through more careful preprocessing techniques, integrating LSTM networks to better capture sequential information in text, and extending the model to predict the actual closing reason of a question using a multi-class classifier, indicating planned methodological and modeling extensions (Section 6 Concluding Remarks, p. 638)] ;"
S69,69,Detecting Duplicate Questions in Stack Overflow via Deep Learning Approaches,2019,"Limitations [The authors explicitly acknowledge that the evaluation is conducted only on Stack Overflow questions from six programming languages (Java, HTML, Python, C++, Ruby, and Objective-C), which “may not guarantee the generalization of our approach,” limiting external validity to other languages and community question answering platforms (Section V Threats to Validity – External Validity, p. 511); they also note that recall-rate@k is the sole evaluation metric used, which, although standard, may not capture all aspects of duplicate question detection effectiveness (Section V Threats to Validity – Construct Validity, p. 511)];

Future Work [The authors explicitly state that “in the future, our approach will apply our approach to other Community Question Answering (CQA) websites,” indicating plans to extend and validate the proposed deep learning–based duplicate question detection approaches beyond Stack Overflow to improve generalizability (Section V Threats to Validity – External Validity, p. 511)] ;"
S70,70,Predicting the Timing and Quality of Responses in Online Discussion Forums,2019,"Limitations [The authors explicitly acknowledge that the empirical evaluation is conducted only on Stack Overflow data, specifically questions tagged with Python over a 30-day period, which may limit the generalizability of the findings to other domains, programming languages, time spans, or online discussion forums (Section III Dataset and Descriptive Analytics, p. 1935; Section V Discussion, p. 1939); they also implicitly note that the extreme sparsity of user–question interactions (only about 0.03% positive cases) poses challenges for prediction and necessitates simplifying modeling choices, which may limit applicability in settings with different participation dynamics (Section III-A Data Collection and Processing, p. 1935)];

Future Work [The authors explicitly state that “the main next step for future work is incorporating our recommendation system into an online forum platform to observe its impact,” and suggest evaluating the approach via A/B testing to compare response quality and timing with and without the system, indicating future work on real-world deployment and empirical validation of the proposed recommendation framework (Section VI Conclusion, p. 1940)] ;"
S71,71,An empirical study of obsolete answers on stack overflow,2019,"Limitations [The authors explicitly acknowledge that the study focuses only on Stack Overflow, which “is one of the most popular and largest Q&A websites,” and therefore the findings may not generalize to other Q&A platforms or knowledge-sharing communities (Section 6 Threats to Validity – External Validity, p. 859); they also explicitly note limitations in their heuristic-based data collection approach, stating that identifying obsolete answers via keyword-based comment analysis achieves only 75 percent accuracy, which introduces noise and potential false positives into the dataset (Section 6 Threats to Validity – Internal Validity, p. 859); additionally, they acknowledge that their quantitative analysis in RQ1 provides only upper-bound estimates for answer updates and new answers, since edits or new answers may occur for reasons other than obsolescence, posing a threat to internal validity (Section 6 Threats to Validity – Internal Validity, pp. 859–860)];

Future Work [The authors explicitly state that future work should develop more advanced and accurate approaches to detect obsolete knowledge on Stack Overflow, for example by applying machine learning techniques to identify obsolescence-indicating comments based on semantic meaning rather than simple keyword matching (Section 8 Conclusion, p. 860); they also explicitly propose future research on extracting and summarizing useful information from comments, so that answer seekers can more easily identify updated or corrective information in long and unstructured comment threads (Section 8 Conclusion, p. 860)];"
S72,72,Quality assessment of answers with user-identified criteria and data-driven features in social Q&A,2019,"Limitations [The authors explicitly acknowledge that Stack Exchange is only one type of social Q&A platform, and therefore the findings “may not represent all other social Q&A sites,” limiting the generalizability of the results beyond the Stack Exchange network (Section 9 Limitations and future research, p. 25); they also explicitly note that the four selected sites (Mathematics, Ask Ubuntu, Photography, and Arqade) may not fully represent all sites within each knowledge domain, introducing a sampling limitation (Section 9 Limitations and future research, p. 25); additionally, they acknowledge that their analysis assumes user comments on high-quality answers reflect the criteria users apply when selecting answers, but comments may not capture all criteria users actually consider, posing a construct validity limitation (Section 9 Limitations and future research, p. 25); they further note that users’ voting behaviors may be biased by factors such as answer position (position bias), meaning high-quality answers may be overlooked if they appear later, which affects the validity of using votes as a proxy for quality (Section 9 Limitations and future research, p. 25)];

Future Work [The authors explicitly state that future work should involve interviewing users to better understand how they apply different criteria when selecting answers across knowledge domains, addressing limitations of comment-based inference (Section 9 Limitations and future research, p. 25); they also explicitly propose future experimental and interview-based studies to examine the gap between users’ perceived quality criteria and their actual voting behaviors, as well as the causes of biases such as position effects in answer evaluation (Section 9 Limitations and future research, p. 25)]; "
S73,73,Assessing the quality of answers autonomously in community question-answering,2019,"Limitations [The authors explicitly acknowledge that the proposed framework can only distinguish between high-quality and low-quality answers and does not provide guidance on how to improve low-quality answers, limiting its practical usefulness for supporting answer refinement (Section 6 Discussion, p. 365); they also explicitly note that the approach is heavily dependent on communities’ past interactions and user history, which limits its applicability to newly formed or sparsely populated CQA communities where such historical data is unavailable (Section 6 Discussion, p. 365); additionally, they acknowledge that the framework does not assess the factual correctness of answers, as checking correctness is beyond the scope of the study, which limits the notion of “quality” to community-driven signals rather than objective accuracy (Section 7 Conclusion, p. 366)] ;

Future Work [The authors explicitly state that future work should focus on expanding the framework to identify what constitutes low-quality answers in more detail, so as to inform users on how to develop and share better answers in educational and focused CQAs (Section 7 Conclusion, p. 366); they also explicitly propose integrating automatic methods for detecting the factual correctness of answers into the framework, which would enable more comprehensive quality assessment (Section 7 Conclusion, p. 366); additionally, they state that future research should investigate how to assist users who struggle to contribute high-quality content and how to support users in creating better answers to improve overall CQA quality and online learning effectiveness (Section 7 Conclusion, p. 366)] ;"
