Study#,SL,Title,Year,Target Q&A Site,Quality Metric,Label Coding Manual
S26,26,Detecting high-quality posts in community question answering sites,2015,Stack Overflow; Mathematics ,question features (Questioner’s reputation at question creation time; # of questioner’s previous questions at question creation time; The length of the question body; The length of the question title; # of answers received in one hour after question creation; # of comments received in one hour after question creation); answer features (Answerer’s reputation at answer creation time; # of answerer’s previous answers at answer creation time; The length of the question answer; # of comments received in one hour after question creation),"Readability and Linguistic Complexity [The length of the question body, The length of the question title, The length of the question answer];
Community Engagement and Activity [# of questioner’s previous questions at question creation time, # of answers received in one hour after question creation, # of comments received in one hour after question creation, # of answerer’s previous answers at answer creation time, # of comments received in one hour after question creation];
Reputation and Social Authority [Questioner’s reputation at question creation time, Answerer’s reputation at answer creation time];"
S27,27,Building a parsimonious model for identifying best answers using interaction history in community Q&A,2015,Yahoo! Answers,"interaction features (Number of distinct interactions between the asker and answerer, Difference between the timestamp of when the answer was chosen as Best Answer by the asker and the timestamp of when the question was posted, Difference between the timestamp of when the answerer’s answer was posted and when the question was posted); Obtaining Textual Features(complexwords, readingscore, averagewords, numquestions, misspelledwords, entropy, numcharacters / numwords / numsentences); ","Readability and Linguistic Complexity [Complexwords, Readingscore, Averagewords, Numquestions, Misspelledwords, Numcharacters, Numwords, Numsentences];
Clarity, Relevance, and Supporting Resources [Entropy];
Community Engagement and Activity [Number of distinct interactions between the asker and answerer];
Response Timing and Interaction [Difference between the timestamp of when the answer was chosen as Best Answer by the asker and the timestamp of when the question was posted, Difference between the timestamp of when the answerer’s answer was posted and when the question was posted];"
S28,28,Multi-Factor Duplicate Question Detection in Stack Overflow,2015,Stack Overflow,title similarity; description similarity; topic similarity; tag similarity;,"Clarity, Relevance, and Supporting Resources [Title similarity, Description similarity, Topic similarity, Tag similarity];"
S29,29,Synonym Suggestion for Tags on Stack Overflow,2015,Stack Overflow,N/A,Tag Relevance and Specificity [tags];
S30,30,CSNIPPEX: Automated Synthesis of Compilable Code Snippets from Q&A Sites,2016,StackOverflow,compilability;,"Clarity, Relevance, and Supporting Resources [compilability];"
S31,31,Evaluating the Quality of Educational Answers in Community Question-Answering,2016,Brainly,"Personal Features (Number of answers given, Number of questions asked, Ranking of users, Grade level of users); Community Features (Number of thanks that user received, Number of warnings that user received, Number of spam reports that user received, Number of friends in community, Clustering Coefficient in friendship network, Average degree of neighborhood, Average CC of friends, Size of ego-network of friendship, Number of outgoing edges in ego-network, Number of neighbors in ego-network); Textual features (The length of answer, The readability of answer, The Flesch Reading Ease Score of answer, The format of answer, Using advance math typing: latex); Contextual features (The grade level of question,
The grade difference between answerer & question, The rank difference between answerer & asker, The similarity between answer and question, Device used to type answer, Duration to answer, Typing speed)","Presentation and Structural Quality [The format of answer, Using advanced math typing: LaTeX];
Readability and Linguistic Complexity [The readability of answer, The Flesch Reading Ease Score of answer, The length of answer];
Content Accuracy and Informativeness [];
Clarity, Relevance, and Supporting Resources [The similarity between answer and question];
Community Engagement and Activity [Number of answers given, Number of questions asked, Ranking of users, Grade level of users, Number of thanks that user received, Number of warnings that user received, Number of spam reports that user received, Number of friends in community, Clustering Coefficient in friendship network, Average degree of neighborhood, Average CC of friends, Size of ego-network of friendship, Number of outgoing edges in ego-network, Number of neighbors in ego-network];
Response Timing and Interaction [Duration to answer, Typing speed];"
S32,32,Improving the Quality of Code Snippets in Stack Overflow,2016,Stack Overflow ,completeness; conciseness; correctness; understandability;,"Content Accuracy and Informativeness [completeness, conciseness, correctness, understandability];"
S33,33,Mining Duplicate Questions in Stack Overflow,2016,Stack Overflow,Cosine Similarity Value; Term Overlap; Entity Overlap; Entity Type Overlap; WordNet Similarity,"Clarity, Relevance, and Supporting Resources [Cosine Similarity Value, Term Overlap, Entity Overlap, Entity Type Overlap, WordNet Similarity];"
S34,34,Predicting Questions' Scores on Stack Overflow,2016,Stack Overflow,"length of the body of a question; length of a title; number of code blocks; number of links in a question; number of tags; length of the code; time to accepted answer (the time difference be- tween the creation of the accepted answer and its question); Polarity (negative, neutral, positive); Subjectivity; ratio of body length to paragraphs (calculated as the body length divided by the number of paragraph tags plus one)","Readability and Linguistic Complexity [Length of the body of a question, Length of a title, Length of the code];
Content Accuracy and Informativeness [Subjectivity];
Clarity, Relevance, and Supporting Resources [Number of links in a question, Ratio of body length to paragraphs (calculated as the body length divided by the number of paragraph tags plus one),];
Post Popularity and Metadata [Number of tags, Number of code blocks];
Response Timing and Interaction [Time to accepted answer (the time difference between the creation of the accepted answer and its question)];
Affect and Sentiment Analysis [Polarity (negative, neutral, positive)];"
S35,35,"Social Question Answering: Textual, User, and Network Features for Best Answer Prediction",2016,Yahoo! Answers,"Text Quality (Visual properties - Count of auxiliary verbs, Count of pronouns, Count of conjunctions, Count of prepositions, Count of occurrences of the verb “to be”, Count of punctuation marks, Minimum length of quoted text, Average length of quoted text, Maximum length of quoted text, Number of quotes, Number of sentences, Number of capitalized words, Number of characters, Number of whitespace violations (lack or redundancy), Number of URLs, Number of words, Number of capitalization violations (i.e., no capital letter after sentence mark), Number of question marks, Number of punctuation violations (lack or redundancy), Number of whitespaces, Punctuation characters divided by all characters, Whitespace characters divided by all characters, Capital letters characters divided by all characters; Readability - Average words per sentence, Average words length in syllables, Average words length in characters, Number of complex words divided by all words, Number of unique words, Average unique words per sentence, Flesch-Kinkaid grade level, Automated readability index, Coleman-Liau index, Flesch reading ease, Gunning-Fog index, LIX score, SMOG grade, Number of short sentences, Number of long sentences, Automated readability index of the question; Informativeness - Number of nouns present in the answer but not in the question, Number of verbs present in the answer but not in the question, Number of adjectives present in the answer but not in the question); Linguistic Similarity (Overlap - Overlap of lemmas, Overlap of concatenations of lemmas and PoS tags, Overlap of named entities, Overlap of stems, Overlap of super-senses, Overlap of terms, Overlap of labeled dependencies with lemma lexicalization, Overlap of labeled dependencies with super-sense lexicalization, Overlap of unlabeled dependencies with lemma lexicalization, Overlap of unlabeled dependencies with super-sense lexicalization, Overlap of labeled semantic roles with lemma lexicalization, Overlap of labeled semantic roles with super-sense lexicalization, Overlap of unlabeled semantic roles with lemma lexicalization, Overlap of unlabeled semantic roles with super-sense lexicalization, Jaccard index of lemmas, Jaccard index of concatenations of lemmas and PoS tags, Jaccard index of named entities, Jaccard index of stems, Jaccard index of super-senses, Jaccard index of terms, Overlap of lemma bigrams, Overlap of bigrams of concatenations of lemmas and PoS tags, Overlap of stem bigrams, Overlap of super-sense bigrams, Overlap of term bigrams, Overlap of lemma trigrams, Overlap of trigrams of concatenations of lemmas and PoS tags, Overlap of stem trigrams, Overlap of super-sense trigrams, Overlap of term trigrams, Overlap of lemma tetragrams, Overlap of tetragrams of concatenations of lemmas and PoS tags, Overlap of stem tetragrams, Overlap of super-sense tetragrams, Overlap of term tetragrams; Frequency - BM25 with lemmas, BM25 with concatenations of lemmasand PoS tags, BM25 with stems, BM25 with super-senses, BM25 with terms, Language modeling with lemmas, Language modeling with concatenations of lemmas and PoS tags, Language modeling with stems Language modeling with super-senses, Language modeling with terms, TF-IDF with lemmas, TF-IDF with concatenations of lemmas and PoS tags, TF-IDF with stems, TF-IDF with super-senses, TF-IDF with terms; Density - Density of lemmas, Density of concatenations of lemmas and PoS tags, Density of named entities, Density of stems, Density of super-senses, Density of terms; Machine Translation - Machine translation of lemmas, Machine translation of concatenations of lemmas and PoS tags, Machine translation of named entities, Machine translation of stems, Machine translation of super-senses,Machine translation of terms,Machine translation of labeled dependencies with lemma lexicalization,Machine translation of labeled dependencies with super-sense lexicalization,Machine translation of unlabeled dependencies with lemma lexicalization,Machine translation of unlabeled dependencies with super-sense lexicalization,Machine translation of labeled semantic roles with lemma lexicalization,Machine translation of labeled semantic roles with super-sense lexicalization,Machine translation of unlabeled semantic roles with lemma lexicalization,Machine translation of unlabeled semantic roles with super-sense lexicalization; Others - ); Distributional Semantics (Semantic similarity using the LSA on Wikipedia corpus, semantic similarity using the random indexing on Wikipedia corpus, semantic similarity using the LSA after random indexing on Wikipedia corpus, semantic similarity using the continuous skip-gram model on Wikipedia corpus, semantic similarity using the LSA on Yahoo Answers corpus, semantic similarity using the random indexing on Yahoo Answers corpus, semantic similarity using the LSA after random indexing on Yahoo Answers corpus, semantic similarity using the continuous skip-gram model on Yahoo Answers corpus.); User Features (User profile - The presence of a resume in the user profile (1 if present, 0 otherwise), length of the resume (in characters), presence of a title in the user profile (1 if present, 0 otherwise), presence of a picture in the user profile (1 if present, 0 otherwise), and time since the account creation; Questions and answers - The number of (not deleted) questions asked by the user, the number of deleted questions asked by the user, the number of answered questions asked by the user, the number of flagged questions asked by the user, the number of questions with a star asked by the user, the number of (not deleted) questions asked by the user divided by the time since the account creation, the number of deleted questions asked by the user divided by the time since the account creation, the number of answered questions asked by the user divided by the time since the account creation, the number of flagged questions asked by the user divided by the time since the account creation, the number of questions with a star asked by the user divided by the time since the account creation, the number of (not deleted) questions divided by all questions asked by the user, the number of deleted questions divided by all questions of the user, the number of answered questions divided by all questions asked by the user, the number of flagged questions divided by all questions asked by the user, the number of questions with a star divided by all questions asked by the user, the minimum automatic readability index of questions asked by the user, the maximum automatic readability index of questions asked by the user, the average automatic readability index of questions asked by the user, the number of questions divided by the number of answers given by the user, the number of (not deleted) answers given by the user, the number of deleted answers given by the user, the number of best answers given by the user, the number of flagged questions asked by the user, the number of (not deleted) answers given by the user divided by the time since the account creation, the number of deleted answers given by the user divided by the time since the account creation, the number of best answers given by the user divided by the time since the account creation, the number of flagged answers given by the user divided by the time since the account creation, the number of (not deleted) answers divided by all answers given by the user, the number of deleted answers divided by all answers given by the user, the number of best answers divided by all answers given by the user, the number of flagged answers divided by all answers given by the user, the number of positive votes that the answers given by the user have received, the number of negative votes that the answers given by the user have received, the difference of positive and negative votes that the answers given by the user have received, the number of positive votes divided by the number of negative votes that the answers given by the user have received, the minimum automatic readability index of answers given by the user, the maximum automatic readability index of answers given by the user, and the average automatic readability index of answers given by the user; Question categories - The number of (not deleted) questions asked by the user in the category of the question, number of deleted questions asked by the user in the category of the question, number of answered questions asked by the user in the category of the question, number of flagged questions asked by the user in the category of the question, number of questions with a star asked by the user in the category of the question, number of (not deleted) questions asked by the user divided by the time since the account creation in the category of the question, number of deleted questions asked by the user divided by the time since the account creation in the category of the question, number of answered questions asked by the user divided by the time since the account creation in the category of the question, number of flagged questions asked by the user divided by the time since the account creation in the category of the question, number of questions with a star asked by the user divided by the time since the account creation in the category of the question, number of (not deleted) questions divided by all questions asked by the user in the category of the question, number of deleted questions divided by all questions of the user in the category of the question, number of answered questions divided by all questions asked by the user in the category of the question, number of flagged questions divided by all questions asked by the user in the category of the question, number of questions with a star divided by all questions asked by the user in the category of the question, minimum automatic readability index of questions asked by the user in the category of the question, maximum automatic readability index of questions asked by the user in the category of the question, average automatic readability index of questions asked by the user in the category of the question, number of questions divided by number of answers given by the user in the category of the question, number of (not deleted) answers given by the user in the category of the question, number of deleted answers given by the user in the category of the question, number of best answers given by the user in the category of the question, number of flagged questions asked by the user in the category of the question, number of (not deleted) answers given by the user divided by the time since the account creation in the category of the question, number of deleted answers given by the user divided by the time since the account creation in the category of the question, number of best answers given by the user divided by the time since the account creation in the category of the question, number of flagged answers given by the user divided by the time since the account creation in the category of the question, number of (not deleted) answers divided by all answers given by the user in the category of the question, number of deleted answers divided by all answers given by the user in the category of the question, number of best answers divided by all answers given by the user in the category of the question, number of flagged answers divided by all answers given by the user in the category of the question, number of positive votes that the answers given by the user have received in the category of the question, number of negative votes that the answers given by the user have received in the category of the question, difference of positive and negative votes that the answers given by the user have received in the category of the question, positive/negative vote ratio for the answers given by the user have received in the category of the question, minimum automatic readability index of answers given by the user in the category of the question, maximum automatic readability index of answers given by the user in the category of the question, average automatic readability index of answers given by the user in the category of the question, entropy of the vector constructed by counting the number of questions in each category, entropy of the vector constructed by counting the number of answers in each category; Behavioral- The internal Yahoo Answer authority score of the user, number of flags given by the user, number of positive votes given by the user, number of negative votes given by the user, difference between the number of positive votes and the number of negative votes given by the user, number of positive votes divided by the number of negative votes given by the user, time between the question is posted and the answer is given by the user, number of answers given to this question); Expertise Network (The indegree of the user in the ARN, PageRank of the user in the ARN, Hits Authority of the user in the ARN, indegree of the user in the best answerer network, PageRank of the user in the best answerer network, Hits Authority of the user in the best answerer network, indegree of the user in the CBEN, PageRank of the user in the CBEN, Hits Authority of the user in the CBEN)","Presentation and Structural Quality [Count of punctuation marks, Minimum length of quoted text, Average length of quoted text, Maximum length of quoted text, Number of quotes, Number of sentences, number of capitalized words, Number of characters, Number of whitespace violations (lack or redundancy), Number of URLs, Number of words, Number of capitalization violations (no capital letter after sentence mark), number of question marks, number of punctuation violations (lack or redundancy), number of whitespaces, Punctuation characters divided by all characters, Whitespace characters divided by all characters, Capital letters divided by all characters];
Readability and Linguistic Complexity [Average words per sentence, Average words length in syllables, Average words length in characters, number of complex words divided by all words, number of unique words, Average unique words per sentence, Flesch-Kinkaid grade level, Automated readability index, Coleman-Liau index, Flesch reading ease, Gunning-Fog index, LIX score, SMOG grade, number of short sentences, Number of long sentences, Automated readability index of the question, number of nouns present in the answer but not in the question, Number of verbs present in the answer but not in the question, Number of adjectives present in the answer but not in the question, Overlap of lemmas, Overlap of concatenations of lemmas and PoS tags, Overlap of named entities, Overlap of stems, Overlap of super-senses, Overlap of terms, Jaccard index of lemmas, Overlap of lemma bigrams, Overlap of lemma trigrams, BM25 with lemmas, Language modeling with lemmas, TF-IDF with lemmas, Density of lemmas, Machine translation of lemmas];
Content Accuracy and Informativeness [Entropy of the vector constructed by counting the number of questions in each category, Entropy of the vector constructed by counting the number of answers in each category];
Clarity, Relevance, and Supporting Resources [Number of URLs, Cosine Similarity Value, Semantic similarity using LSA on Wikipedia corpus, Semantic similarity using the random indexing on Wikipedia corpus];
Community Engagement and Activity [Presence of a resume in the user profile, Length of the resume (in characters), Presence of a title in the user profile, Presence of a picture in the user profile, Time since the account creation, number of (not deleted) questions asked by the user, number of answers given by the user, Number of flagged answers, Number of positive votes received, number of negative votes received, Number of flags given by the user, Time between the question being posted and the answer being given];
Reputation and Social Authority [Indegree of the user in the ARN, PageRank of the user in the ARN, Hits Authority of the user in the ARN];
Post Popularity and Metadata [Positive/negative vote ratio for the answers given by the user];
Response Timing and Interaction [Time between the question being posted and the answer being given];"
S36,36,Understanding Question Quality through Affective Aspect in Q&A Site,2016,Stack Overflow,"Textual (Content Length, LOC, Sentence Count, Word Count, Automated Reading Index, Coleman Liau Index, Flesch Kincaid Grade Level, Flesch Reading Ease Score, Gunning Fox Index, SMOG Grade); Community-based Aspect (Answer Badge Count,Question Badge Count, Tag Count, Accepted Answer Count, Up Vote Count, Down Vote Count, Offensive Vote Count, Favorite Vote Count, Close Vote Count, Reopen Vote Count, Bounty Start Vote Count, Bounty Close Vote Count, Deletion Vote Count, Undeletion Vote Count, Spam Vote Count, Moderator Review Vote Count, Approve Edit Vote Count); Affective (Politeness, Positive Sentiment, Negative Sentiment)","Readability and Linguistic Complexity [Content Length, LOC, Sentence Count, Word Count, Automated Reading Index, Coleman Liau Index, Flesch Kincaid Grade Level, Flesch Reading Ease Score, Gunning Fox Index, SMOG Grade];
Community Engagement and Activity [Favorite Vote Count, Close Vote Count, Reopen Vote Count, Bounty Start Vote Count, Bounty Close Vote Count, Deletion Vote Count, Undeletion Vote Count, Spam Vote Count, Moderator Review Vote Count, Approve Edit Vote Count];
Reputation and Social Authority [Accepted Answer Count, Up Vote Count, Down Vote Count, Offensive Vote Count, Answer Badge Count, Question Badge Count];
Post Popularity and Metadata [Tag Count];
Affect and Sentiment Analysis [Politeness, Positive Sentiment, Negative Sentiment];"
S37,37,Embedded Emotion-based Classification of Stack Overflow Questions Towards the Question Quality Prediction,2016,Stack Overflow,TF-IDF of key/indicator terms; negative sentence count; positive sentence count; neutral sentence count,"Content Accuracy and Informativeness [TF-IDF of key/indicator terms];
Affect and Sentiment Analysis [Negative sentence count, Positive sentence count, Neutral sentence count];"
S38,38,It Takes Two to Tango: Deleted Stack Overflow Question Prediction with Text and Meta Features,2016,Stack Overflow,"Term title; Term body; Term mixed; Term tags; Profile (Age of account, # previous questions with negative scores, # previous questions with positive scores, # previous questions with 0 scores, # previous answers with negative scores, # previous answers with positive scores, # previous answers with 0 scores, # previous questions, # previous answers, # previous badges, (# previous questions)/(age of account), (# previous answers)/(age of account)); Community (Average score for previous answers, Average score for previous questions, Average view counts for previous questions, Average number of comments received, Average number of accepted answers, Average favorite votes); Content (# URLs, # tags, length of code snippet, # personal pronouns, # pronouns, # space words, # relativity words, # inclusive words, # cognitive process word- s, # social words, # first person singular pronouns); Syntactic (# function words, # conjunctions, # prepositions, # characters in body field, # alphabetical characters in body field, # upper case characters in body field, # lower case characters in body field, # digit characters in body field, # white case characters in body field, # special characters in body field, # punctuation marks in body field, # words in body field, # short words in body field, # unique words in body field, Average length of words in body field, # characters in title field, # words in title field, Average length of words in body field)","Readability and Linguistic Complexity [# function words, # conjunctions, # prepositions, # characters in body field, # alphabetical characters in body field, # upper case characters in body field, # lower case characters in body field, # digit characters in body field, # white case characters in body field, # special characters in body field, # punctuation marks in body field, # words in body field, # short words in body field, # unique words in body field, Average length of words in body field, # characters in title field, # words in title field, Average length of words in body field, Term title, Term body, Term mixed, Length of code snippet];
Clarity, Relevance, and Supporting Resources [# URLs];
Community Engagement and Activity [Age of account, # previous questions, # previous answers, # previous badges, (# previous questions)/(age of account), (# previous answers)/(age of account), Average score for previous answers, Average score for previous questions, Average view counts for previous questions, Average number of comments received, Average number of accepted answers, Average favorite votes];
Reputation and Social Authority [# previous questions with negative scores, # previous questions with positive scores, # previous questions with 0 scores, # previous answers with negative scores, # previous answers with positive scores, # previous answers with 0 scores];
Post Popularity and Metadata [ # tags];
Tag Relevance and Specificity [Term tags];"
S39,39,By the Community & For the Community: A Deep Learning Approach to Assist Collaborative Editing in Q&A Sites,2017,Stack Overflow,"grammatical/spelling mistakes (spelling”, “typo”, “grammar”); clarify the meaning of a post(“clarification”, “details”, “explanation""); correct minor mistakes or add addendums/updates(“fixes”, “errors”, “changes”); add related resources or hyperlinks(“links”, “information”, “image” for type (4). Apart from them, there are also some other keywords, such as “formatting”, “indentation”, “highlighting”, “capitalization”, and “readability”)","Presentation and Structural Quality [formatting, indentation, highlighting, capitalization, readability];
Readability and Linguistic Complexity [spelling, typo, grammar];
Content Accuracy and Informativeness [clarification, details, explanation, fixes, errors, changes];
Clarity, Relevance, and Supporting Resources [links, information, image];"
S40,40,Detecting Duplicate Posts in Programming QA Communities via Latent Semantics and Association Rules,2017,Stack Overflow,doc2vec vector similarity (VS); topical similarity (TP); association score (ASS),"Clarity, Relevance, and Supporting Resources [Doc2vec vector similarity (VS), Topical similarity (TP), Association score (ASS)];"
S41,41,Discerning the Quality of Questions in Educational Q&A using Textual Features,2017,Brainly,"Non-textual (ambiguity; Lack ofInformation; Poor Syntax; Complex; Excessive Information; Inappropriate; Inconsistent); Textual (presence of certain interrogative phrases, the number of mis- spellings, the total number of question marks in an entire query, the automated readability scores, the total number of characters, the total number of words)","Readability and Linguistic Complexity [Presence of certain interrogative phrases, The number of misspellings, The total number of question marks in an entire query, The automated readability scores, The total number of characters, The total number of words];
Content Accuracy and Informativeness [Ambiguity, Lack of Information, Poor Syntax, Complex, Excessive Information, Inappropriate, Inconsistent];"
S42,42,TAGme: A Topical Folksonomy Based Collaborative Filtering for Tag Recommendation in Community Sites,2017,Stack Overflow,N/A,Tag Relevance and Specificity [tags];
S43,43,Identifying Textual Features of High-Quality Questions: An Empirical Study on Stack Overflow,2017,Stack Overflow,"Dimension-Size (Paragraphs, Sentences, Words, Letters, AvgParaLen, AvgSntcLen, AvgWordLen); Element (Lists, EmphTexts, Links, Code Snippets, Tags); Readability (ARI, SMOG, Flesh, GunningFog, Flesch Kincaid, FORCAST, Coleman Liau); Lexical Diversity (Maas, Measure of Textual Lexical Diversity(MTLD), Hypergeometric Distribution D (HDD)); Sentiment (PosScore, NegScore, SentiScore)","Presentation and Structural Quality [Paragraphs, AvgParaLen, AvgSntcLen, AvgWordLen, Lists, EmphTexts];
Readability and Linguistic Complexity [ARI, SMOG, Flesch, GunningFog, Flesch Kincaid, FORCAST, Coleman Liau, Sentences, Words, Letters, Lexical Diversity (Maas, Measure of Textual Lexical Diversity (MTLD), Hypergeometric Distribution D (HDD))];
Clarity, Relevance, and Supporting Resources [Links, Code Snippets];
Post Popularity and Metadata [Tags, PosScore, NegScore];
Affect and Sentiment Analysis [SentiScore];"
S44,44,Scalable tag recommendation for software information sites,2017,Stack Overflow;  Ask Ubuntu; Ask Different;  Freecode,N/A,Tag Relevance and Specificity [tags];
S45,45,Towards Question Improvement on Knowledge Sharing Platforms: A Stack Overflow Case Study,2017,Stack Overflow,"Closed Reason Type (duplicate/off-topic/unclear/too broad/opinion based); Ttile features (length, question words, nouns & verbs, tags); question body features ( code snippet, URL, formatting, orthographic); tags (tag count, popular tags, defunct tags, Lower-Case, Tags-with-Spaces, Tags-with-Punctuation)","Presentation and Structural Quality [Formatting, Orthographic, Lower-case, Tags-with-Spaces, Tags-with-Punctuation];
Readability and Linguistic Complexity [Length, Question words, Nouns & verbs];
Content Accuracy and Informativeness [Duplicate, Off-topic, Unclear, Too broad, Opinion based];
Clarity, Relevance, and Supporting Resources [Code snippet, URL];
Post Popularity and Metadata [Tag count];
Tag Relevance and Specificity [Tags, Popular tags, Defunct tags];"
S46,46,"Question's advisor a wizard interface to teach novice programmers how to post ""better"" questions in stack overflow",2017,Stack Overflow,"question attractiveness (example/code, objectivity, clarity, short description, Coherence between title and description); question quality (clarity, objectivity, show that knows the topic, example/code, be polite);  other characteristics (well-chosen title, Coherence between question description and title, Coherence between question description and title, Understandable description, Showing an example, Avoiding a large amount of code, Avoiding description with only code, Restricting each question to a single problem, Avoiding creating duplicate questions, Do not create homework questions, Including links question, Combining links content)","Content Accuracy and Informativeness [Objectivity, Show that knows the topic, Avoiding creating duplicate questions, Do not create homework questions];
Clarity, Relevance, and Supporting Resources [Example/code, Coherence between title and description, Coherence between question description and title, Showing an example, Well-chosen title, Understandable description, Avoiding a large amount of code, Avoiding description with only code, Restricting each question to a single problem, Short description, Clarity, Including links in the question, Combining links content];
Affect and Sentiment Analysis [Be polite];"
S47,47,On early detection of high voted Q&A on Stack Overflow,2017,Stack Overflow,"The length of the question body; The length of the question title; Does the question contains source code? (yes/no); 
The reputation of questioner; Number of previous questions of questioner; The length of the answer; Does the answer contains source code? (yes/no); The Jaccard textual overlap score of the question and answer; The reputation of answerer; Number of previous answers of answerer; Number of previous questions of questioner with accepted answer; Number of comments of question one hour after question creation; Number of comments of all submitted answers one hour after question posted; Number of submitted answers one hour after question posted","Readability and Linguistic Complexity [The length of the question body, The length of the question title];
Clarity, Relevance, and Supporting Resources [The Jaccard textual overlap score of the question and answer, Does the question contain source code? (yes/no), Does the answer contain source code? (yes/no)];
Community Engagement and Activity [Number of previous questions of questioner, Number of previous answers of answerer, Number of previous questions of questioner with accepted answer];
Reputation and Social Authority [The reputation of questioner, The reputation of answerer];
Response Timing and Interaction [Number of submitted answers one hour after question posted,  Number of comments of question one hour after question creation, Number of comments of all submitted answers one hour after question posted];"
S48,48,The best answer prediction by exploiting heterogeneous data on software development Q&A forum,2017,Stack Overflow,"Word-based (BM25, tf-body, idf-body, #(question body) / tf-body, tf-body / #(answer body), tf-body ? idf-body / #(answer body), tf-body ? #(question body), #(question body)/(#(answer body) ?#(word list)), BM25, tf-title, idf-title, #(title) / tf-title, tf-title / #(answer body), tf-title ? idf-title / #(answer body), tf-title ? #(title), #(title) / (#(answer body) ? #(word list)); Distribution-based (KL-divergence); Hidden-based (relation score of question and answers, maximum relation scores of title words and answers, average relation scores of title words and answers, Cosine Similarity by PCA, Euclidean Distance by PCA, Chebyshev Distance by PCA); Topic-based (#(c-topics)/(#(a-topics) + #(q-topics)- #(c-topics)), #(a-topics), #(a-topics) * #(q-topics), #(a-topics) / #(answer body), #(a-topics) #(q-topics) / #(a-topics)); Statical-based (#(answer chars), #(answer union words), #(answer words))","Readability and Linguistic Complexity [#(answer chars), #(answer union words), #(answer words)];
Content Accuracy and Informativeness [BM25, tf-body, idf-body, #(question body) / tf-body, tf-body / #(answer body), tf-body ? idf-body / #(answer body), tf-body ? #(question body), #(question body) / (#(answer body) ? #(word list)), tf-title, idf-title, #(title) / tf-title, tf-title / #(answer body), tf-title ? idf-title / #(answer body), tf-title ? #(title), #(title) / (#(answer body) ? #(word list))];
Clarity, Relevance, and Supporting Resources [Cosine Similarity by PCA, Euclidean Distance by PCA, Chebyshev Distance by PCA, KL-divergence, relation score of question and answers, maximum relation scores of title words and answers, average relation scores of title words and answers];
Tag Relevance and Specificity [#(c-topics) / (#(a-topics) + #(q-topics) - #(c-topics)), #(a-topics), #(a-topics) * #(q-topics), #(a-topics) / #(answer body), #(a-topics) #(q-topics) / #(a-topics)];"
S49,49,Language Use Matters: Analysis of the Linguistic Structure of Question Texts Can Characterize Answerability in Quora,2017,Quora,"Linguistic processes (Function words,Pronouns,Personal pronouns,1st person singular,1st person plural,2nd person,3rd person singular,3rd person plural,Impersonal pronoun,Articles, Adverbs,Conjunctions,Negation); Psychological processes (Social process,Friends,Humans,Positive Emotion,Negative Emotion,Anxiety,Anger,Sadness,Cognitive Processes,Cause,Tentative,Biological Processes,Body,Health,Sexual)","Readability and Linguistic Complexity [Function words, Pronouns, Personal pronouns, 1st person singular, 1st person plural, 2nd person, 3rd person singular, 3rd person plural, Impersonal pronoun, Articles, Adverbs, Conjunctions, Negation];
Affect and Sentiment Analysis [Social process, Friends, Humans, Positive Emotion, Negative Emotion, Anxiety, Anger, Sadness, Cognitive Processes, Cause, Tentative, Biological Processes, Body, Health, Sexual];"
S50,50,Understanding Stack Overflow Code Fragments,2017,Stack Overflow,Organization; Naming; Rationale; Incompete; Quality; Domain; Clutter;,"Presentation and Structural Quality [Organization, Clutter];
Readability and Linguistic Complexity [Naming];
Content Accuracy and Informativeness [Rationale, Incomplete, Quality, Domain];"
S51,51,Are Code Examples on an Online Q&A Forum Reliable? A Study of API Misuse on Stack Overflow,2018,Stack Overflow,"Missing Control Constructs (Missing exception handling, Missing if checks, Missing finally); Missing or Incorrect Order of API calls; Incorrect Guard Condition; ","Content Accuracy and Informativeness [Missing exception handling, Missing if checks, Missing finally, Missing or Incorrect Order of API calls, Incorrect Guard Condition];"
S52,52,Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites,2018,Stack Overflow,edits (code format; text format; hyperlink modification; image revision),"Presentation and Structural Quality [Code format, Text format];
Content Accuracy and Informativeness [Hyperlink modification, Image revision];"
S53,53,Duplicate Detection in Programming Question Answering Communities,2018,Stack Overflow; Quora,"Vector similarity feature (cosine similarity); Relevance features (Jelinek-Mercer smoothing, Dirichlet prior smoothing, divergence from randomness similarity); Association feature;","Clarity, Relevance, and Supporting Resources [Cosine similarity, Jelinek-Mercer smoothing, Dirichlet prior smoothing, Divergence from randomness similarity, Association feature];"
S54,54,Two Perspectives on Software Documentation Quality in Stack Overflow,2018,Stack Overflow,"Question (Words), Description (Words), Description Flesch Reading Ease, Description Code To Text Ratio, Description Images,
Description Listing, Description Quotes, Tags (Words), Answer (Words), Answer Flesch Reading Ease, Answer Code To Text Ratio, Answer Images, Answer Listing, Answer Quotes","Presentation and Structural Quality [Description Images, Description Listing, Description Quotes, Answer Listing, Answer Quotes];
Readability and Linguistic Complexity [Question (Words), Description (Words), Description Flesch Reading Ease, Tags (Words), Answer (Words), Answer Flesch Reading Ease];
Clarity, Relevance, and Supporting Resources [Answer Code To Text Ratio, Description Code To Text Ratio, Answer Images];"
