Study#,SL,Title,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,EvaluationMetrics,Categorized_Methodology_Details,Year,Target Content,TargetContentNumeric,#OfMethods
S52,52,Data-Driven Proactive Policy Assurance of Post Quality in Community Q&A Sites,0,1,1,0,1,0,0,0,0,0,0,f1 score; precision; recall;,"Qualitative Analysis
[conducts a large-scale empirical analysis of collaborative editing logs to identify common editing types and mid-level quality assurance practices manifested through community edits]

Deep Learning (DL) / Transformer-Based Deep Learning
[formulates post-edit recommendation as a text classification problem and applies a Convolutional Neural Network (CNN) to learn editing patterns and predict required edit types]

Text Analysis and Natural Language Processing
[uses text classification over post bodies with word embeddings and CNN-based feature learning to detect quality issues and localize key phrases that justify edit recommendations]",2018,answer; question,TC1&2,3
S53,53,Duplicate Detection in Programming Question Answering Communities,1,1,0,0,1,1,1,0,1,0,0,auc/roc/auc-roc; f1 score; recall;,"Machine Learning (ML)
[trains and evaluates a wide range of supervised classifiers, including instance-based, linear, kernel-based, ensemble, and neural models, to predict whether a question pair is duplicate]

Deep Learning (DL) / Transformer-Based Deep Learning
[leverages neural representation learning to model latent semantic similarity between questions, enabling more robust detection beyond lexical overlap]

Text Analysis and Natural Language Processing
[extracts vector-based semantic representations, applies probabilistic language models with smoothing, and uses topic modeling to characterize question similarity]

Heuristic and Rule-Based Approaches
[filters and prunes candidate questions using tag overlap and ranking heuristics to reduce the search space before classification]

Data Mining and Graph-Based Models
[mines frequently co-occurring phrase pairs from known duplicate questions to construct association features that capture domain-specific paraphrasing patterns]

Relevance, Ranking, and Evaluation
[employs IR-style ranking models (e.g., BM25 and language-model–based scoring) to select top-k candidate duplicates and evaluates performance using recall-at-k and classification metrics]",2018,question (duplicate),TC1,6
S54,54,Two Perspectives on Software Documentation Quality in Stack Overflow,1,1,1,0,0,0,0,0,0,0,0,accuracy; precision; recall;,"Qualitative Analysis
[manually validates extracted documentation-quality indicators and their relationships with answer acceptance and voting outcomes]

Machine Learning (ML)
[applies a Naïve Bayes classifier to predict whether answers will be accepted or highly voted based on combinations of documentation-related features]

Text Analysis and Natural Language Processing
[performs automated readability analysis to derive linguistic features used in predictive modeling]",2018,answer; question,TC1&2,3
S55,55,"Determinants of quality, latency, and amount of Stack Overflow answers about recent Android APIs",1,0,1,0,0,0,0,0,1,0,1,constant; log likelihood; r-square;,"Qualitative Analysis
[conducts manual case studies to validate whether detected API mentions are central to questions and to characterize how new APIs are discussed]

Machine Learning (ML)
[applies regression-based predictive models, including logistic regression, Poisson regression, and linear regression, to estimate effects on answer quality, quantity, and latency]

Heuristic and Rule-Based Approaches
[filters and cleans large-scale Stack Overflow and Android API datasets to control for confounds such as deleted posts, migrated questions, and noisy API links]

Miscellaneous
[analyzes the role of bounties as an incentive mechanism by modeling their timing and presence in relation to answer quality and response speed]",2018,answer; question,TC1&2,4
S56,56,ICSD: An Automatic System for Insecure Code Snippet Detection in Stack Overflow over Heterogeneous Information Network,1,1,1,0,0,0,1,0,0,0,0,accuracy; f1 score; precision; recall;,"Qualitative Analysis
[manually labels code snippets as secure or insecure based on established Android security principles and expert inspection to construct ground-truth datasets]

Machine Learning (ML)
[applies a multi-view fusion classifier that integrates heterogeneous representations learned from multiple relational views to predict insecure code snippets]

Text Analysis and Natural Language Processing
[learns low-dimensional representations of code snippets using network embedding over heterogeneous graphs through the Snippet2Vec model]

Data Mining and Graph-Based Models
[constructs and mines a heterogeneous information network using meta-path–guided random walks to encode rich semantic relationships among users, posts, code, and keywords]",2018,answer; question (code snippet-security),TC1&2,4
S57,57,"EnTagRec ++: An enhanced tag recommendation system for software information sites
",1,0,0,1,0,0,0,0,0,0,0,precision; recall;,"Quantitative and Statistical Analysis
[models tag–term and tag–object relationships using Bayesian inference (e.g., labeled topic modeling) and frequentist inference based on tag co-occurrence and term statistics]

Machine Learning (ML)
[applies grid search–based parameter tuning to optimally combine multiple inference components (Bayesian, frequentist, user-based, and initial-tag–based) into a unified tag-ranking model]",2018,tags,TC3,2
S58,58,Exploiting User Activities for Answer Ranking in Q&A Forums,0,0,0,0,0,1,0,0,0,0,0,mean reciprocal rank; precision;,"Relevance, Ranking, and Evaluation
[formulates answer selection as a learning-to-rank problem and applies ranking algorithms including SVMRank, PageRank, and HITS to combine textual, user, comment, and network-based features]",2018,answer,TC2,1
S59,59,Guiding supervised topic modeling for content based tag recommendation,1,1,0,0,0,1,0,0,0,0,0,recall;,"Machine Learning (ML)
[employs a supervised generative topic model that constrains topic assignments using known tags to directly guide tag prediction]

Text Analysis and Natural Language Processing
[applies topic modeling with LDA and supervised variants, augmented with Word2Vec-based semantic similarity to identify content words relevant to tags]

Relevance, Ranking, and Evaluation
[evaluates tag recommendation effectiveness by ranking candidate tags according to learned topic–content relevance and measuring recall at top-k positions]",2018,tags,TC3,3
S60,60,How to ask for technical help? Evidence-based guidelines for writing questions on Stack Overflow,1,1,1,1,0,0,0,0,0,0,0,auc/roc/auc-roc; coefficient estimate; odds ratio; p-value;,"Qualitative Analysis
[conducts user surveys and qualitative content analysis to elicit community norms and perceptions of what constitutes a good technical question]

Quantitative and Statistical Analysis
[applies logistic regression analysis to estimate the statistical association between question features and the likelihood of receiving answers]

Machine Learning (ML)
[uses logistic regression with clustering-based discretization to model nonlinear effects of continuous features]

Text Analysis and Natural Language Processing
[applies sentiment analysis techniques to extract affective features from question text]",2018,question,TC1,4
S61,61,Finding and Ranking High-Quality Answers in Community Question Answering Sites,1,0,0,1,0,1,0,0,0,0,0,auc/roc/auc-roc; f1 score; matching_top10; precision; recall; rmse;,"Quantitative and Statistical Analysis
[addresses class imbalance by applying random under-sampling to construct balanced training datasets]

Machine Learning (ML)
[trains ensemble and probabilistic classifiers, including Naive Bayes, Random Forest, and Gradient Boosting, to distinguish and rank high-quality answers]

Relevance, Ranking, and Evaluation
[analyzes feature importance and contribution using ranking-based evaluation to identify the most influential predictors of answer quality]",2018,answer,TC2,3
S62,62,FastTagRec: fast tag recommendation for software information sites,0,1,1,0,1,0,0,0,0,0,0,f1 score; manual evaluation; precision; recall;,"Qualitative Analysis
[conducts qualitative analysis to understand tagging behavior and guide feature design for efficient tag recommendation]

Deep Learning (DL) / Transformer-Based Deep Learning
[employs a neural network with a softmax output layer to model tag prediction as a multi-class classification problem]

Text Analysis and Natural Language Processing
[represents post content using bag-of-words and n-gram features, combined with Huffman coding for efficient text encoding]",2018,tags,TC3,3
S63,63,AnswerBot: An Answer Summary Generation Tool Based on Stack Overflow,0,1,1,0,0,0,1,0,0,0,0,diversity score; likert scale; manual validation; relevance score; usefulness score;,"Qualitative Analysis
[conducts controlled user studies to compare generated answer summaries against baseline search-engine–based summaries in terms of relevance, usefulness, and diversity]

Text Analysis and Natural Language Processing
[leverages bag-of-words representations, Word2Vec embeddings, inverse document frequency weighting, maximal marginal relevance for diversity-aware selection, sentence pattern recognition, and user-oriented feature extraction]

Data Mining and Graph-Based Models
[mines large-scale Stack Overflow data to retrieve relevant questions, extract candidate answer paragraphs, and support scalable summary generation]",2019,answer,TC2,3
S64,64,Features That Predict the Acceptability of Java and JavaScript Answers on Stack Overflow,1,1,0,1,0,0,0,0,0,0,0,auc/roc/auc-roc; matthews correlation coefficient; neural network coefficient; random forest coefficient;,"Quantitative and Statistical Analysis
[addresses class imbalance by applying synthetic oversampling techniques, including SMOTE and ADASYN, and evaluates feature relevance using information gain]

Machine Learning (ML)
[trains Random Forest and Neural Network models to predict answer acceptability and identify features with the highest predictive power]

Text Analysis and Natural Language Processing
[performs text preprocessing and tokenization to enable similarity computation, sentiment extraction, and feature construction from answer content]",2019,answer,TC2,3
S65,65,How Reliable is the Crowdsourced Knowledge of Security Implementation?,0,0,1,1,0,0,0,1,0,0,0,,"Qualitative Analysis
[conducts qualitative inspection of security-related posts and analyzes community feedback to understand how insecure implementations are discussed, corrected, or propagated]

Quantitative and Statistical Analysis
[applies statistical analysis to quantify the prevalence and distribution of insecure security practices across different cryptographic categories]

Program and Code Analysis
[uses clone detection techniques to identify recurring insecure code patterns and track their replication across multiple Stack Overflow posts]",2019,answer code snippet,TC2,3
S66,66,Integrating Multi-Level Tag Recommendation with External Knowledge Bases for Automatic Question Answering,1,1,1,0,0,1,1,0,0,0,0,mean reciprocal rank; ndcg; recall;,"Qualitative Analysis
[analyzes tag semantics and usage patterns to characterize hierarchical tag levels and to qualitatively assess the relevance of recommended tags and retrieved knowledge base articles]

Machine Learning (ML)
[employs supervised multi-class classification models trained on post–tag co-clusters to predict relevant tag clusters for new questions, combined with neighborhood-based voting to recommend final tags]

Text Analysis and Natural Language Processing
[uses topic modeling with Latent Dirichlet Allocation to represent posts and tag descriptions in a low-dimensional semantic space, enabling scalable similarity computation and clustering]

Data Mining and Graph-Based Models
[constructs post–tag bipartite graphs and applies multi-level spectral co-clustering to uncover hierarchical tag structures, while mining external knowledge bases using recommended tags for targeted article retrieval]

Relevance, Ranking, and Evaluation
[ranks retrieved knowledge base articles using tag-augmented tf-idf representations and cosine similarity, and evaluates retrieval effectiveness using recall, coverage, precision, mean reciprocal rank, and normalized discounted cumulative gain]",2019,tags,TC3,5
S67,67,SOTagRec: A Combined Tag Recommendation Approach for Stack Overflow,1,1,0,0,1,0,0,0,0,0,1,precision; recall;,"Machine Learning (ML) [applies collaborative filtering based on TF-IDF representations and cosine similarity to estimate tag relevance from historically similar questions, and combines probabilistic outputs from multiple models using weighted linear aggregation]

Deep Learning (DL) / Transformer-Based Deep Learning [employs a convolutional neural network with word embeddings and multiple convolution layers to learn deep semantic representations of question text and predict independent tag probabilities in a multi-label setting]

Text Analysis and Natural Language Processing [represents questions using word embeddings trained on Stack Overflow data and TF-IDF vectors after tokenization, stop-word removal, and stemming to support both neural and similarity-based models]

Miscellaneous [uses ten-fold cross-validation on large-scale Stack Overflow datasets to tune model parameters and evaluate tag recommendation effectiveness using Recall@k and Precision@k]",2019,tags,TC3,4
S68,68,Towards an Accurate Prediction of the Question Quality on Stack Overflow using a Deep-Learning-Based NLP Approach,0,1,0,0,1,0,0,0,0,0,0,accuracy; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning [employs a deep neural network architecture consisting of a gated recurrent unit (GRU) followed by multiple dense layers to perform binary classification of question quality based solely on textual representations] 

Text Analysis and Natural Language Processing [applies NLP preprocessing including text cleaning, tokenization, and vectorization, and represents questions using document-level embeddings derived from spaCy vectors and Stack-Overflow-specific Doc2Vec models to capture semantic properties of posts]",2019,question,TC1,2
S69,69,Detecting Duplicate Questions in Stack Overflow via Deep Learning Approaches,0,1,0,0,1,0,0,0,0,0,0,recall;,"Deep Learning (DL) / Transformer-Based Deep Learning [employs multiple deep neural architectures, including CNN-, RNN-, and LSTM-based models, to learn non-linear semantic representations of question pairs and predict duplication likelihood through probability ranking]

Text Analysis and Natural Language Processing [constructs duplicate and non-duplicate question pairs and represents question text using distributed word embeddings to capture semantic similarity for duplicate pair detection]",2019,question (duplicate),TC1,2
S70,70,Predicting the Timing and Quality of Responses in Online Discussion Forums,1,1,0,0,0,0,1,0,0,0,0,auc/roc/auc-roc; rmse;,"Machine Learning (ML) [employs logistic regression for answer likelihood prediction and fully connected neural networks optimized via gradient descent to predict response quality based on engineered user–question features]

Text Analysis and Natural Language Processing [uses topic modeling with Latent Dirichlet Allocation to infer latent discussion topics from question text and support computation of topical similarity features]

Data Mining and Graph-Based Models [constructs question–answer and denser user interaction graphs to extract centrality, similarity, and resource-allocation features, and applies point process models to capture temporal dynamics of user responses]",2019,answer,TC2,3
S71,71,An empirical study of obsolete answers on stack overflow,0,1,1,1,0,0,0,0,1,0,0,statistical analysis;,"Qualitative Analysis [manually inspects sampled obsolete answer threads, associated comments, and edit histories to understand obsolescence reasons, user reactions, evidence provided, and post-observation maintenance actions]

Quantitative and Statistical Analysis [analyzes large-scale Stack Overflow data to measure the prevalence of obsolete answers, time-to-obsolescence detection, update frequency, tag-level obsolescence ratios, and statistical differences across communities]

Text Analysis and Natural Language Processing [classifies reasons for answer obsolescence by analyzing textual cues in comments and answer content, categorizing causes such as API evolution, programming language changes, outdated references, tools, platforms, and protocols]

Heuristic and Rule-Based Approaches [applies keyword-based heuristics on comments to automatically identify candidate obsolete answers and construct a large dataset for subsequent quantitative and qualitative analysis]",2019,answer (obsolete),TC2,4
S72,72,Quality assessment of answers with user-identified criteria and data-driven features in social Q&A,0,0,0,1,0,0,0,0,0,0,0,correlation;,Quantitative and Statistical Analysis [applies large-scale quantitative analysis combining exploratory factor analysis and linear regression to identify dominant quality dimensions and examine how textual and non-textual features correlate with answer scores across domains],2019,answer,TC2,1
S73,73,Assessing the quality of answers autonomously in community question-answering,1,0,0,0,0,0,1,0,0,0,0,accuracy; auc/roc/auc-roc; f1 score;,"Machine Learning (ML) [builds supervised classification models using logistic regression, decision trees, and random forests to predict answer quality from heterogeneous feature sets]

Data Mining and Graph-Based Models [extracts egonet and graph-structural features from user interaction networks to model social influence, connectivity, and information flow patterns relevant to answer quality prediction]",2019,answer,TC2,2
S74,74,Code Duplication on Stack Overflow,0,0,1,0,0,0,0,1,0,0,0,qualitative analysis;,"Qualitative Analysis [conducts manual inspection of representative duplicated code snippets to understand reuse patterns, clone contexts, sources, and maintenance behaviors]

Program and Code Analysis [applies code normalization and fingerprinting to detect exact and non-trivial code clones across threads, analyzes clone distribution and evolution, and examines licensing information to identify copyright and attribution conflicts]",2020,answer code snippet (duplicate),TC2,2
S75,75,Generating Question Titles for Stack Overflow from Mined Code Snippets,0,0,1,0,1,0,0,0,0,0,0,bleu; human evaluation; rouge;,"Qualitative Analysis [conducts human evaluation to assess the naturalness, clarity, and relevance of generated question titles, and to examine their effectiveness in improving low-quality questions]

Deep Learning (DL) / Transformer-Based Deep Learning [employs an LSTM-based sequence-to-sequence architecture enhanced with attention, copy, and coverage mechanisms to model code-to-text generation and handle rare tokens and repetition in generated titles]",2020,question title,TC4,2
S76,76,Large-Scale Question Tagging via Joint Question-Topic Embedding Learning,1,1,0,0,1,1,0,0,0,0,0,f1 score; precision; recall;,"Text Analysis and Natural Language Processing [learns shared semantic representations of questions and tags by embedding both into a common latent space to enable similarity-based matching]

Machine Learning (ML) [uses a multilayer perceptron to model interactions between learned question and tag embeddings and support large-scale tag prediction]

Deep Learning (DL) / Transformer-Based Deep Learning [employs convolutional neural networks to encode question text, integrates hierarchical directed acyclic graph encoding of tags, optimizes predictions using sigmoid cross-entropy loss, and applies transfer learning to handle sparse and imbalanced tags]

Relevance, Ranking, and Evaluation [ranks candidate tags by computing similarity scores between question and tag embeddings and evaluates effectiveness using top-k ranking–based matching metrics]",2020,tags,TC3,4
S77,77,Why Will My Question Be Closed? NLP-Based Pre-Submission Predictions of Question Closing Reasons on Stack Overflow,0,1,0,1,1,0,0,0,0,0,0,accuracy; f1 score; precision; recall;,"Quantitative and Statistical Analysis [balances highly skewed class distributions through downsampling to ensure reliable training and evaluation of binary and multi-class prediction models]

Deep Learning (DL) / Transformer-Based Deep Learning [employs recurrent neural network architectures based on gated recurrent units, including unidirectional, bidirectional, and composite GRU-based models, to predict question closure and specific closing reasons]

Text Analysis and Natural Language Processing [applies text cleaning, tokenization, stemming, and part-of-speech tagging to preprocess question text and extract linguistic features used as input for neural models]",2020,question (closed),TC1,3
S78,78, Duplicate Question Detection With Deep Learning in Stack Overflow,0,1,0,0,1,0,0,0,0,0,0,recall;,"Text Analysis and Natural Language Processing [represents question text using Word2Vec embeddings to capture word-level semantic information for similarity learning]

Deep Learning (DL) / Transformer-Based Deep Learning [employs deep neural architectures including CNN-, RNN-, and LSTM-based models built on Word2Vec representations to learn semantic similarity between question pairs and predict duplication likelihood]",2020,question (duplicate),TC1,2
S79,79,Improving Quality of a Post's Set of Answers in Stack Overflow,1,0,1,0,0,0,0,1,0,0,1,accuracy; completeness; comprehensibility; conciseness; correctness; f1 score; precision; recall;,"Qualitative Analysis [relies on human judgment to label posts as deficient or non-deficient by manually evaluating answer sets against defined quality criteria]

Machine Learning (ML) [trains supervised classification models, including neural networks, decision trees, and support vector machines, to predict posts that require improvement based on post-level features]

Program and Code Analysis [applies clone detection and program slicing techniques to extract and recommend relevant code snippets that help contributors generate higher-quality answers]

Miscellaneous [implements an IDE-based prompting tool to proactively suggest deficient posts to developers and support answer improvement with minimal context switching]",2020,answer; question,TC1&2,4
S80,80,Predicting closed questions on community question answering sites using convolutional neural network,1,0,0,1,1,0,0,0,0,0,0,f1 score; micro-receiver operating characteristic (roc) curve; precision; recall;,"Quantitative and Statistical Analysis [addresses severe class imbalance in question status labels by applying synthetic minority oversampling techniques to improve the robustness of prediction models]

Machine Learning (ML) [builds baseline classifiers using traditional algorithms such as naïve Bayes, gradient boosting, random forest, and k-nearest neighbor trained on handcrafted linguistic features]

Deep Learning (DL) / Transformer-Based Deep Learning [employs convolutional neural network and long short-term memory architectures to automatically learn contextual and semantic representations from question text and perform multi-class closure reason prediction]",2020,question (closed),TC1,3
S81,81,TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,0,1,0,0,1,0,1,0,0,0,0,f1 score; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning [leverages a hybrid neural architecture combining Bi-LSTM for contextual word representation, convolutional neural networks for local feature extraction, and capsule networks to model multi-label tag confidence]

Text Analysis and Natural Language Processing [represents software object descriptions using distributed word and document embeddings to capture both word-level semantics and global contextual meaning]

Data Mining and Graph-Based Models [applies collaborative filtering to identify semantically similar historical software objects and reuse their associated tags to complement deep learning–based predictions]",2020,tags,TC3,3
S82,82,Multilayer Convolutional Neural Network to Filter Low Quality Content from Quora,1,1,0,0,1,0,0,0,0,0,1,accuracy; f1 score; precision; recall;,"Machine Learning (ML) [trains traditional classifiers using handcrafted linguistic features to establish baseline performance for low-quality content detection]

Deep Learning (DL) / Transformer-Based Deep Learning [employs a multilayer convolutional neural network to automatically learn hidden contextual patterns from question text and classify posts as low-quality or acceptable]

Text Analysis and Natural Language Processing [represents questions using distributed word embeddings generated through skip-gram, continuous bag-of-words, and pre-trained embedding models to support semantic learning]

Miscellaneous [applies k-fold cross-validation to ensure robust evaluation and reduce bias arising from fixed train–test splits]",2020,question,TC1,4
S83,83,Understanding stack overflow code quality: A recommendation of caution,0,0,1,1,0,0,0,1,0,0,0,cohen's classification (rho);,"Qualitative Analysis [conducts in-depth manual inspection of representative code snippets and their surrounding discussion context to understand the practical implications of detected quality issues]

Quantitative and Statistical Analysis [performs large-scale quantitative analysis and correlation studies to measure the prevalence, distribution, and co-occurrence of different code quality violations]

Program and Code Analysis [applies static analysis tools to detect reliability issues, readability violations, performance inefficiencies, and security vulnerabilities in sampled code snippets, combined with systematic snippet sampling and violation categorization]",2020,answer code snippet,TC2,3
S84,84,Toxic code snippets on stack overflow,0,0,1,1,0,0,0,1,0,0,0,,"Qualitative Analysis [conducts user studies involving Stack Overflow answerers and visitors to understand awareness, perceptions, and behaviors related to reusing outdated or license-violating code snippets]

Quantitative and Statistical Analysis [performs large-scale empirical analysis to quantify the prevalence of toxic code snippets, their reuse frequency, and the extent of outdated and problematic solutions]

Program and Code Analysis [applies clone detection to identify reused code between Stack Overflow and open-source projects, classifies toxic code types, and analyzes outdated clone evolution and license conflicts]",2021,answer code snippet,TC2,3
S85,85,Are Comments on Stack Overflow Well Organized for Easy Retrieval by Developers?,1,1,1,1,0,1,0,0,0,0,0,accuracy; auc/roc/auc-roc; cosine similarity; precision; recall;,"Qualitative Analysis [manually categorizes comments through open coding to identify informative versus uninformative content types, such as improvements, weaknesses, inquiries, and additions]

Quantitative and Statistical Analysis [performs large-scale empirical analysis and statistical testing to compare characteristics of hidden and shown comments and assess the effectiveness of the existing organization mechanism]

Machine Learning (ML) [trains supervised classifiers to automatically distinguish informative comments from uninformative ones using textual, activity, and user-related features]

Text Analysis and Natural Language Processing [applies vector space models and text preprocessing to compute similarity between answers and comments and support classifier feature construction]

Relevance, Ranking, and Evaluation [evaluates alternative comment organization strategies by ranking comments using similarity measures and classifier predictions to improve retrieval of informative comments]",2021,comment answer,TC5,5
S86,86,Early Detection and Guidelines to Improve Unanswered Questions on Stack Overflow,1,1,1,1,0,0,0,0,0,0,0,accuracy; f1 score; precision; recall;,"Qualitative Analysis [manually inspects answered and unanswered questions to identify recurring deficiencies in problem description, topic assignment, code explanation, and formatting, and to derive actionable improvement guidelines]

Quantitative and Statistical Analysis [conducts large-scale comparative analysis using random sampling and statistical testing to identify significant differences between answered and unanswered questions across multiple features]

Machine Learning (ML) [builds supervised prediction models using decision trees, random forests, k-nearest neighbors, and neural networks to identify unanswered questions during submission based on available features]

Text Analysis and Natural Language Processing [applies readability analysis and topic entropy modeling to quantify linguistic clarity, topical focus, and information density of question text]",2021,question (unanswered),TC1,4
S87,87,Quantifying Human-Perceived Answer Utility in Non-Factoid Question Answering,0,0,1,1,0,0,0,0,0,0,0,"bertscore; bleu; fisher's z-transformation; meteor; rouge; statistical analysis (mean, standard deviation);","Qualitative Analysis [conducts an editorial user study in which askers and answerers generate questions and answers and manually assess answer usefulness and multiple utility aspects]

Quantitative and Statistical Analysis [applies correlation analysis to quantify relationships between individual answer aspects and perceived usefulness, and to evaluate how well existing automatic answer quality metrics align with human judgments]",2021,answer,TC2,2
S88,88,Technical Q&A Site Answer Recommendation via Question Boosting,1,0,1,0,1,0,0,0,1,0,0,discounted cumulative gain -dcg@k (k=2-5); matching score; precision; user study;,"Qualitative Analysis [conducts user studies to evaluate perceived usefulness, relevance, and satisfaction with the recommended answers]

Machine Learning (ML) [employs weakly supervised learning to train answer recommendation models using implicit signals rather than fully labeled datasets]

Deep Learning (DL) / Transformer-Based Deep Learning [applies LSTM-based sequence-to-sequence models and convolutional neural networks to model semantic relationships between boosted questions and candidate answers]

Heuristic and Rule-Based Approaches [uses heuristic rules to enhance question representations and guide candidate answer selection prior to model-based ranking]",2021,answer; question,TC1&2,4
S89,89,Contextual Profiling of Stack Overflow Java Code Security Vulnerabilities Initial Insights from a Pilot Study,0,1,1,1,0,0,0,1,0,0,0,,"Qualitative Analysis [performs manual code review and inductive analysis of vulnerable snippets and their surrounding context, including answers, comments, and edit histories, to assess contributor awareness and potential mitigation cues]

Quantitative and Statistical Analysis [applies static analysis at scale to quantify the frequency and distribution of security vulnerabilities across a large corpus of Java code snippets]

Text Analysis and Natural Language Processing [profiles contextual information around code snippets to understand how textual explanations and discussions influence the likelihood of vulnerability propagation]

Program and Code Analysis [uses automated vulnerability detection techniques to identify security-related coding faults in Java snippets and analyze their potential impact if reused in real-world software]",2021,answer code snippet,TC2,4
S90,90,Detecting Duplicate Questions in Stack Overflow via Semantic and Relevance Approaches,0,1,0,0,1,1,0,0,0,0,0,accuracy; f1 score; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning [employs Siamese bidirectional LSTM architectures with soft alignment attention to model word-level semantic interactions between paired questions]

Text Analysis and Natural Language Processing [represents question text using document and word embeddings as well as topic modeling to capture semantic context at multiple granularities]

Relevance, Ranking, and Evaluation [combines semantic matching and relevance matching signals to compute similarity scores and evaluate duplicate detection effectiveness through ranking and classification-based matching]",2021,question (duplicate),TC1,3
S91,91,Rollback Edit Inconsistencies in Developer Forum,0,0,1,1,0,0,0,0,1,0,0,accuracy; f1 score; precision; recall;,"Qualitative Analysis [conducts an in-depth qualitative study and user study to categorize different types of rollback inconsistencies and to understand how such inconsistencies affect contributors’ perceptions, motivation, and editing behavior]

Quantitative and Statistical Analysis [performs statistical analysis to examine correlations between rollback inconsistencies and post quality indicators such as popularity, engagement, and answer outcomes]

Heuristic and Rule-Based Approaches [develops rule-based detection techniques to automatically identify multiple types of rollback edit inconsistencies by comparing pre- and post-rollback revisions]",2021,answer; question,TC1&2,3
S92,92,Characterization and Prediction of Questions without Accepted Answers on Stack Overflow,1,0,0,0,0,0,0,1,0,0,1,auc/roc/auc-roc;,"Machine Learning (ML) [trains multiple supervised models, including gradient-boosted trees and linear and probabilistic classifiers, to predict whether a question will receive an accepted answer based solely on features available at submission time]

Program and Code Analysis [performs static analysis of code-related attributes within questions, such as code presence and size, to model how technical detail contributes to question resolution]

Miscellaneous [uses k-fold cross-validation to ensure robust evaluation and mitigate overfitting when training and comparing predictive models at scale]",2021,question,TC1,3
S93,93,Beyond Relevance: Trustworthy Answer Selection via Consensus Verification,0,1,0,0,1,0,0,0,0,0,0,mean reciprocal rank; precision;,"Deep Learning (DL) / Transformer-Based Deep Learning [employs BERT-based relevance matching combined with neural verification modules, including pivoted attention mechanisms, self-interaction networks, and deep neural architectures to model answer–evidence consistency]

Text Analysis and Natural Language Processing [introduces a matching–verification framework that retrieves external supporting evidence, distills consensus representations, and verifies answer consistency against aggregated crowd knowledge]",2021,answer,TC2,2
S94,94,Recency and quality-based ranking question in CQAs: A Stack Overflow case study,1,0,1,0,0,1,0,0,0,0,0,"f1 score; normalized cumulative gain discount (ndcc@k, k=1-10); precision; recall;","Qualitative Analysis [constructs ground truth ranking labels through manual annotation to distinguish high-quality and low-quality questions]

Machine Learning (ML) [applies a wide range of supervised learning-to-rank algorithms, including boosting-, neural-, tree-, and margin-based rankers, to learn optimal question ranking functions]

Relevance, Ranking, and Evaluation [evaluates ranking effectiveness using learning-to-rank frameworks that combine relevance, quality, and recency features to improve question ordering in CQAs]",2021,answer,TC2,3
S95,95,How to Formulate Specific How-to Questions in Software Development?,0,1,1,0,0,0,1,0,0,0,0,qualitative analysis;,"Qualitative Analysis [conducts user studies and qualitative analysis of developer-authored how-to questions to identify recurring patterns, shortcomings, and best practices in question formulation]

Text Analysis and Natural Language Processing [applies linguistic and conceptual mutation techniques to transform vague questions into more specific variants by refining action verbs, objects, and contextual details]

Data Mining and Graph-Based Models [constructs and mines knowledge graphs from existing high-quality questions to extract seed tasks and guide the generation of more specific how-to question formulations]",2022,question title,TC4,3
S96,96,PTM4Tag: Sharpening Tag Recommendation of Stack Overflow Posts with Pre-Trained Models,0,1,0,0,1,0,0,0,0,0,1,f1 score; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning [applies transfer learning using multiple pre-trained language models and fine-tunes a BERT-based multi-label classifier to predict relevant tags for Stack Overflow posts]

Text Analysis and Natural Language Processing [preprocesses post content by removing HTML artifacts and compares performance against embedding-based baselines to enhance semantic representation quality]

Miscellaneous [conducts ablation studies to analyze the contribution of different model components and input features to overall tag recommendation performance]",2022,tags,TC3,3
S97,97,A Study of C/C++ Code Weaknesses on Stack Overflow,0,0,1,1,0,0,1,1,0,0,0,,"Qualitative Analysis [conducts qualitative inspection and in-depth analysis of selected C/C++ code snippets to understand the nature, context, and causes of observed security weaknesses]

Quantitative and Statistical Analysis [performs large-scale quantitative analysis to measure the frequency, distribution, and trends of different security weaknesses across Stack Overflow posts]

Data Mining and Graph-Based Models [applies data mining techniques and analyzes user behavior patterns to study how insecure code is shared, reused, and propagated within the community]

Program and Code Analysis [uses static code analysis tools to detect security weaknesses, map findings to standardized vulnerability categories, and analyze code revisions to observe how weaknesses evolve over time]",2022,answer code snippet,TC2,4
S98,98,An Empirical Study of C++ Vulnerabilities in Crowd-Sourced Code Examples,0,1,1,0,0,0,0,1,0,0,0,accuracy; f1 score; precision; recall;,"Qualitative Analysis [conducts manual code review and qualitative inspection of vulnerable C++ snippets to understand vulnerability causes, contexts, and developer awareness]

Text Analysis and Natural Language Processing [analyzes syntactic structures of code and surrounding text to support vulnerability understanding and classification]

Program and Code Analysis [performs automated vulnerability classification, maps findings to standardized weakness categories, and applies clone detection to study reuse and propagation of vulnerable code snippets]",2022,answer code snippet,TC2,3
