Study#,SL,Title,Year,Tools & Techniques
S117,117,Automatic prediction of rejected edits in Stack Overflow,2023,"Tool/Technique [EditEx – online edit-assistance and rejected-edit prediction tool based on machine learning classifiers];
Target Content [question edits, answer edits];
Purpose [assist users during editing by predicting potential edit rejections and identifying likely rejection reasons to improve post content quality and reduce rejected edits];"
S118,118,Automated Question Title Reformulation by Mining Modification Logs From Stack Overflow,2023,"Tool/Technique [QETRA – automated question title reformulation via mining modification logs and multi-task Transformer (T5)];
Target Content [question title];
Purpose [reformulate and improve existing question titles by learning real developer edit patterns, enhancing clarity, conciseness, and quality rather than generating titles from scratch];"
S119,119,Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT Answers to Stack Overflow Questions,2024,N/A
S120,120,Identifying Smart Contract Security Issues in Code Snippets from Stack Overflow,2024,"Tool/Technique [SOChecker – LLM-assisted code completion and program-analysis-based vulnerability detection tool]; 
Target Content [answer code snippets]; 
Purpose [identify security vulnerabilities in incomplete Stack Overflow smart contract code snippets by completing code with a fine-tuned LLM and applying symbolic execution and CFG-based analysis];"
S121,121,Can We Identify Stack Overflow Questions Requiring Code Snippets? Investigating the Cause & Effect of Missing Code Snippets,2024,"Tool/Technique [Machine-learning–based code-snippet requirement prediction models (six supervised ML classifiers: Random Forest, XGBoost, ANN, Naive Bayes, KNN, SVM)]; 
Target Content [question]; 
Purpose [automatically identify questions that need code snippets (and thus flag likely “missing-code” questions) to improve question quality and increase the chance of getting prompt/accepted answers];"
S122,122,AUTOGENICS: Automated Generation of Context-Aware Inline Comments for Code Snippets on Programming Q&A Sites Using LLM,2024,"Tool/Technique [AUTOGENICS – Automated Generation of Context-Aware Inline Comments for Code Snippets];
Target Content [Answer];
Purpose [automatically generate context-aware, noise-free inline comments for answer code snippets using large language models to improve readability, comprehension, and correct reuse of solutions];"
S123,123,"Reproducibility of issues reported in stack overflow questions: Challenges, impact & estimation",2024,"Tool/Technique [Machine-learning–based issue reproducibility prediction framework];
Target Content [Question];
Purpose [automatically predict whether issues reported in Stack Overflow questions are reproducible using code-based features, enabling early identification of irreproducible questions and motivating improvements to code snippets for better answerability]; "
S124,124,PTM4Tag+: Tag recommendation of stack overflow posts with pre-trained models,2024,"Tool/Technique [PTM4Tag+ – pre-trained model–based tag recommendation framework];
Target Content [Question Tag];
Purpose [automatically recommend accurate and high-quality tags for Stack Overflow questions by leveraging transformer-based pre-trained models over title, description, and code, thereby improving content organization, searchability, and overall question quality];"
S125,125,Towards Better Answers: Automated Stack Overflow Post Updating,2025,"Tool/Technique [SOUP – Stack Overflow Updator for Post];
Target Content [Answer];
Purpose [automatically update and improve Stack Overflow answers by integrating valuable information from comments into answer code snippets, thereby fixing bugs, addressing weaknesses, resolving obsolescence, and improving overall answer quality using large language models];"
S126,126,Does Editing Improve Answer Quality on Stack Overflow? A Data-Driven  Investigation,2025,N/A
S127,127,Detecting question relatedness in programming Q&A communities via bimodal feature fusion,2025,"Tool/Technique [Bimodal question relatedness detection framework with cross-attention];
Target Content [Question];
Purpose [automatically detect semantically related or duplicate questions in programming Q&A sites by jointly modeling question text and embedded code using pre-trained language models and cross-attention, thereby reducing redundancy and improving overall question quality and retrieval efficiency];"
